mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-0.4130463404234642,-35162.38896996466,-17581.40100815254,2.6277567545572915,31.835965898301865
train,0,0.0,0.0,0.0,19.68004348542955,32.349961033573855
valid,1,0.6254160865740862,-5315.562967368253,-2657.4687756408402,0.5961807370185852,31.699158138699
train,1,0.0,0.0,0.0,1.337245590156979,32.371300238150134
valid,2,0.6520793787404185,-918.3428383794447,-458.8453795003522,0.11496954494052464,31.563005023532444
train,2,0.0,0.0,0.0,0.3882175198307744,32.29986671165184
valid,3,0.6456999670455469,-126.13122849825339,-62.74276426560391,-0.2673721644613478,31.427518208821613
train,3,0.0,0.0,0.0,-0.06221498824931957,32.27028465270996
valid,4,0.6427435256887465,-26.76837060799218,-13.062813541151716,-0.4341477023230659,31.2927057478163
train,4,0.0,0.0,0.0,-0.35581602432109694,32.253848746970846
valid,5,0.6025929123507496,-29.008707553798654,-14.203057320723952,-0.44001609749264187,31.15856064690484
train,5,0.0,0.0,0.0,-0.44558945850089743,32.218695675885236
valid,6,0.6628704839412913,-23.00386931284811,-11.17049941445341,-0.5367835958798727,31.025061713324654
train,6,0.0,0.0,0.0,-0.4952813607675058,32.18918856868037
valid,7,0.6495416075710678,-21.854735447264986,-10.602596919846958,-0.5851286186112298,30.892197714911568
train,7,0.0,0.0,0.0,-0.5588978219915319,32.170602021393954
valid,8,0.6774190682408621,-17.243959496811936,-8.283270214285535,-0.6725822223557366,30.759977128770615
train,8,0.0,0.0,0.0,-0.6371300750308566,32.13874265882704
valid,9,0.6771391281403427,-15.719913841921409,-7.521387356890532,-0.738639407687717,30.628390418158638
train,9,0.0,0.0,0.0,-0.730200864650585,32.11459082144278
valid,10,0.7087348562927605,-11.818605342721327,-5.554935243214284,-0.8527784877353244,30.497426138983833
train,10,0.0,0.0,0.0,-0.8302364746729533,32.080468001189054
valid,11,0.707274680445968,-10.923601283428505,-5.108163301491269,-0.9304980569415622,30.367074754503037
train,11,0.0,0.0,0.0,-0.930250174469418,32.057073027999316
valid,12,0.7204878684982952,-9.136115008411897,-4.207813569956801,-1.0028028686841328,30.237339231703018
train,12,0.0,0.0,0.0,-1.0222056618443243,32.028299190379954
valid,13,0.739857640140579,-7.553359635086584,-3.4067509974730026,-1.072732196913825,30.108211305406357
train,13,0.0,0.0,0.0,-1.0784760536970917,32.02670379921242
valid,14,0.7518927156679656,-6.618555534384445,-2.933331409358239,-1.112099998527103,29.97968313429091
train,14,0.0,0.0,0.0,-1.1132974889543321,31.98669864513256
valid,15,0.7405912026075715,-7.093218521804764,-3.1763136595985966,-1.107183297475179,29.851746029324
train,15,0.0,0.0,0.0,-1.1469185528931793,31.97714572482639
valid,16,0.7589805551956437,-6.245475646226154,-2.743247545515255,-1.14210710922877,29.72440020243327
train,16,0.0,0.0,0.0,-1.1630023806183427,31.919629202948677
valid,17,0.7638985238912169,-5.676000406281639,-2.456050941195211,-1.1523919966485765,29.59764035542806
train,17,0.0,0.0,0.0,-1.1743157307306926,31.882859265362775
valid,18,0.7667303144242743,-5.515991619614753,-2.3746306525952394,-1.1533383594618902,29.471458435058594
train,18,0.0,0.0,0.0,-1.1802123564260978,31.87556923760308
valid,19,0.7609049517321425,-6.218638408952763,-2.72886672861031,-1.1555066108703613,29.345847871568466
train,19,0.0,0.0,0.0,-1.1856572760476007,31.860631518893772
valid,20,0.7616574558334072,-5.280448180324423,-2.259395362245508,-1.1516226132710774,29.220804850260418
train,20,0.0,0.0,0.0,-1.1950156158871121,31.836429242734557
valid,21,0.7651561911275956,-5.684631847904829,-2.4597378283886164,-1.165157331360711,29.096328099568684
train,21,0.0,0.0,0.0,-1.201291490484167,31.80423750700774
valid,22,0.7653870544684309,-5.629771075619221,-2.4321920105753954,-1.1670451031790838,28.97241062588162
train,22,0.0,0.0,0.0,-1.209651408372102,31.744660059611004
valid,23,0.7591722400219151,-6.239410376282489,-2.740119068130287,-1.1590501136249967,28.849046919080948
train,23,0.0,0.0,0.0,-1.2144891685909696,31.736634289776838
valid,24,0.7679048874145704,-5.147648870896309,-2.189871991740869,-1.1622607575522528,28.726230409410263
train,24,0.0,0.0,0.0,-1.204373876253764,31.67619655750416
valid,25,0.7630468207616049,-5.167168700427048,-2.2020609398327213,-1.1679134435123868,28.603958977593315
train,25,0.0,0.0,0.0,-1.22333558400472,31.681059802020037
valid,26,0.7595020967579611,-5.148257862974004,-2.194377883108022,-1.1548722253905401,28.48222902086046
train,26,0.0,0.0,0.0,-1.2273304594887628,31.632164637247723
valid,27,0.7602915378461508,-6.012425106446831,-2.62606678430034,-1.1646068162388272,28.3610356648763
train,27,0.0,0.0,0.0,-1.225337478849623,31.633512991446036
valid,28,0.7623253650787816,-5.581408898698637,-2.409541766809928,-1.1693881220287747,28.240373399522568
train,28,0.0,0.0,0.0,-1.2317973110410902,31.61498952794958
valid,29,0.7598042758757693,-5.746982907244185,-2.4935893156842077,-1.1680002212524414,28.120236502753365
train,29,0.0,0.0,0.0,-1.2419100867377386,31.58027316905834
valid,30,0.7636025839265019,-5.159743459870498,-2.1980704379719977,-1.1708297332127888,28.00062433878581
train,30,0.0,0.0,0.0,-1.2480934019441958,31.539284035011573
valid,31,0.7676309648336023,-4.4846613829028525,-1.8585152090346253,-1.1349687973658245,27.88153076171875
train,31,0.0,0.0,0.0,-1.2506356945744268,31.537783728705513
valid,32,0.7658944321423473,-5.350090749256178,-2.292098158556915,-1.171487397617764,27.762954711914062
train,32,0.0,0.0,0.0,-1.2507177988688152,31.48049665380407
valid,33,0.7688523893795326,-5.14589516856281,-2.1885213895916387,-1.168303496307797,27.644888348049587
train,33,0.0,0.0,0.0,-1.2518745130962796,31.475581345734774
valid,34,0.7685310775332052,-4.839117777355971,-2.0352933499113828,-1.1627142694261339,27.527326795789932
train,34,0.0,0.0,0.0,-1.2596659130520291,31.43776724073622
valid,35,0.7538462479104282,-5.634048133138898,-2.440100942614235,-1.1519107156329684,27.41027069091797
train,35,0.0,0.0,0.0,-1.2639495487566348,31.42609504417137
valid,36,0.7526572466677757,-5.600966770095606,-2.4241547617139148,-1.1489846772617764,27.29371452331543
train,36,0.0,0.0,0.0,-1.2654322606545907,31.394624568797923
valid,37,0.7694661128172099,-4.664564875780908,-1.9475493814818492,-1.1471938888231914,27.177654266357422
train,37,0.0,0.0,0.0,-1.272497989513256,31.366823055126048
valid,38,0.7633608176497321,-4.944965910929408,-2.090802546639838,-1.161314394738939,27.06208674112956
train,38,0.0,0.0,0.0,-1.2764814915480438,31.343165221037687
valid,39,0.7668990829203268,-5.143161490269823,-2.188131203674748,-1.1634254720475938,26.94700770907932
train,39,0.0,0.0,0.0,-1.2765384824187667,31.33270157708062
valid,40,0.769075719732959,-4.415850016196078,-1.8233871482315598,-1.1492684483528137,26.832411660088432
train,40,0.0,0.0,0.0,-1.2791414790683322,31.271842038189924
valid,41,0.7642604972776735,-4.687955287900202,-1.9618473953112643,-1.1413830651177301,26.718299441867405
