mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-25.864417352984027,-102680.27274445565,-51353.06858090432,40.024803161621094,31.818952560424805
train,0,0.0,0.0,0.0,40.43659019470215,33.04933166503906
valid,1,-25.09901132891255,-102089.71200856855,-51057.40550994873,38.911834716796875,31.808734893798828
train,1,0.0,0.0,0.0,39.63931083679199,33.00771141052246
valid,2,-23.72073253508537,-100844.08606350806,-50433.903398021575,36.909053802490234,31.79851531982422
train,2,0.0,0.0,0.0,38.3179874420166,33.00276565551758
valid,3,-21.362712460179484,-98384.93290070565,-49203.147806582914,33.48164749145508,31.788305282592773
train,3,0.0,0.0,0.0,35.97137260437012,32.97276496887207
valid,4,-17.616045490387947,-93871.96452872983,-46944.79028711011,28.029605865478516,31.778104782104492
train,4,0.0,0.0,0.0,32.03947162628174,32.87793159484863
valid,5,-12.309824682051136,-86209.15152469758,-43110.73067468981,20.286897659301758,31.767894744873047
train,5,0.0,0.0,0.0,25.90488624572754,33.005958557128906
valid,6,-6.519389844709827,-74386.96459173386,-37196.74199078928,11.781511306762695,31.7576904296875
train,6,0.0,0.0,0.0,17.744266510009766,32.84842872619629
valid,7,-4.562457453820013,-58925.14153855847,-29464.851998006146,8.73713493347168,31.747488021850586
train,7,0.0,0.0,0.0,10.240256786346436,32.87759590148926
valid,8,-5.315611193256993,-47149.53326612903,-23577.424438661143,9.678290367126465,31.737289428710938
train,8,0.0,0.0,0.0,9.668676376342773,32.775468826293945
valid,9,-2.3303213888599026,-42037.55944430443,-21019.944882846645,5.343326091766357,31.727096557617188
train,9,0.0,0.0,0.0,9.446805000305176,33.033254623413086
valid,10,-0.38941063419465094,-40613.603484122985,-20306.99644737859,2.5826642513275146,31.71690559387207
train,10,0.0,0.0,0.0,4.703313589096069,32.91972732543945
valid,11,-0.3734854575126402,-39692.49675529234,-19846.43512037493,2.6005451679229736,31.70671844482422
train,11,0.0,0.0,0.0,2.434990882873535,32.829647064208984
valid,12,-0.56846236413525,-37134.54057459677,-18567.554518480454,2.879443407058716,31.696535110473633
train,12,0.0,0.0,0.0,2.497956871986389,32.73348808288574
valid,13,-0.2482637551523024,-32471.49747983871,-16235.87287179693,2.362285852432251,31.686359405517578
train,13,0.0,0.0,0.0,2.4840365648269653,32.915475845336914
valid,14,0.2475228694177443,-26528.719868321572,-13264.236172726078,1.5486345291137695,31.676183700561523
train,14,0.0,0.0,0.0,1.9172508716583252,32.78672409057617
valid,15,0.33518874452960107,-20776.459252142136,-10388.062031698804,1.3081746101379395,31.666011810302734
train,15,0.0,0.0,0.0,1.3108329772949219,32.84697341918945
valid,16,0.10664960645860241,-16631.143050655242,-8315.518200524391,1.551119327545166,31.655847549438477
train,16,0.0,0.0,0.0,1.4057819843292236,32.83621406555176
valid,17,0.19155252556647023,-14527.112643334174,-7263.460545404304,1.3952162265777588,31.64568328857422
train,17,0.0,0.0,0.0,1.6704615950584412,32.85803413391113
valid,18,0.46500208108655866,-13823.962725239415,-6911.748861579164,1.010879397392273,31.635522842407227
train,18,0.0,0.0,0.0,1.3753802180290222,32.7234992980957
valid,19,0.5235588819749893,-13521.789700415826,-6760.633070766926,0.9499685168266296,31.6253662109375
train,19,0.0,0.0,0.0,0.9191137552261353,32.75150108337402
valid,20,0.46456122398376465,-12782.50939547631,-6391.022417126163,1.039300560951233,31.615211486816406
train,20,0.0,0.0,0.0,0.85445436835289,32.723283767700195
valid,21,0.5122371392865335,-11300.14945344002,-5649.818608150367,0.9389431476593018,31.60506248474121
train,21,0.0,0.0,0.0,0.8462468385696411,32.79074478149414
valid,22,0.6468101470701156,-9347.979594569053,-4673.666392210991,0.6813924312591553,31.59491729736328
train,22,0.0,0.0,0.0,0.7099535763263702,32.85910987854004
valid,23,0.711327362445093,-7490.3163550592235,-3744.802513848389,0.51419597864151,31.58477020263672
train,23,0.0,0.0,0.0,0.5211772918701172,32.682640075683594
valid,24,0.6899131997939079,-6121.6514656313,-3060.480776215753,0.48470115661621094,31.57463264465332
train,24,0.0,0.0,0.0,0.44660621881484985,32.78607749938965
valid,25,0.7004621374991632,-5344.7002465032765,-2671.9998921828887,0.4376681447029114,31.564495086669922
train,25,0.0,0.0,0.0,0.47847744822502136,32.821298599243164
valid,26,0.7482793100418583,-5004.523079164566,-2501.8873999272623,0.36365431547164917,31.554359436035156
train,26,0.0,0.0,0.0,0.3975958526134491,32.80351448059082
valid,27,0.7496084609339314,-4770.313815209173,-2384.7821033741197,0.3636239171028137,31.544233322143555
train,27,0.0,0.0,0.0,0.2805079519748688,32.57441711425781
valid,28,0.731740536228303,-4392.087866998488,-2195.6780632311297,0.37706196308135986,31.53410530090332
train,28,0.0,0.0,0.0,0.247472882270813,32.836299896240234
valid,29,0.7452700907184232,-3828.7647173481605,-1914.009723628721,0.3230152130126953,31.523988723754883
train,29,0.0,0.0,0.0,0.22971194982528687,32.61966896057129
valid,30,0.7753149136420219,-3174.503951534148,-1586.864318310253,0.2268252968788147,31.513866424560547
train,30,0.0,0.0,0.0,0.16566568613052368,32.67132377624512
valid,31,0.7813353115512479,-2604.9793799615677,-1302.0990223250083,0.1640005111694336,31.503753662109375
train,31,0.0,0.0,0.0,0.10475510358810425,32.76920700073242
valid,32,0.7775497821069532,-2211.604543378276,-1105.4134967980845,0.12867271900177002,31.493640899658203
train,32,0.0,0.0,0.0,0.07668587565422058,32.743268966674805
valid,33,0.785894932285432,-1979.0198689122353,-989.116986989975,0.09297019243240356,31.483535766601562
train,33,0.0,0.0,0.0,0.04167625308036804,32.56106758117676
valid,34,0.7899165230412637,-1815.1500303206906,-907.1800568988247,0.07158243656158447,31.473432540893555
train,34,0.0,0.0,0.0,-0.02525201439857483,32.822418212890625
valid,35,0.7828017319402387,-1660.822004748929,-830.0196015084944,0.06572872400283813,31.46333122253418
train,35,0.0,0.0,0.0,-0.06967511773109436,32.79816436767578
valid,36,0.7818575097668555,-1459.7249529438634,-729.4715477170482,0.03794145584106445,31.453237533569336
train,36,0.0,0.0,0.0,-0.09447970986366272,32.71057319641113
valid,37,0.7914785396668219,-1225.4300606020036,-612.3192910311684,-0.01925790309906006,31.443143844604492
train,37,0.0,0.0,0.0,-0.12685558199882507,32.72509765625
valid,38,0.7964674003662602,-1009.7866511191091,-504.4950918593714,-0.07343864440917969,31.43305778503418
train,38,0.0,0.0,0.0,-0.18016499280929565,32.67498016357422
valid,39,0.795587710795864,-845.5118142404864,-422.35811326484526,-0.11302542686462402,31.422971725463867
train,39,0.0,0.0,0.0,-0.20582184195518494,32.72323036193848
valid,40,0.7980013239768243,-741.696049351846,-370.4490240139346,-0.14432621002197266,31.412891387939453
train,40,0.0,0.0,0.0,-0.24621394276618958,32.4806604385376
valid,41,0.7985897198800118,-656.6160770539315,-327.9087436670257,-0.1702970266342163,31.402812957763672
train,41,0.0,0.0,0.0,-0.29716742038726807,32.622053146362305
valid,42,0.7969030622513064,-577.4569483110981,-288.3300226244234,-0.19437754154205322,31.392742156982422
train,42,0.0,0.0,0.0,-0.3362436592578888,32.65947914123535
valid,43,0.7968874708298714,-495.5655812909526,-247.38434691006137,-0.22675788402557373,31.382671356201172
train,43,0.0,0.0,0.0,-0.3728395104408264,32.68477821350098
valid,44,0.7995730696185943,-413.0626388057586,-206.13153286807,-0.269777774810791,31.372604370117188
train,44,0.0,0.0,0.0,-0.3939118981361389,32.72060012817383
valid,45,0.8009158372879028,-343.969847894484,-171.58446602859806,-0.30992817878723145,31.3625431060791
train,45,0.0,0.0,0.0,-0.4339144825935364,32.737897872924805
valid,46,0.8011307543323886,-290.4663695058515,-144.83261937575955,-0.3443446159362793,31.352479934692383
train,46,0.0,0.0,0.0,-0.4825640916824341,32.644426345825195
valid,47,0.8011804722970531,-248.25742856917842,-123.72812404844068,-0.3751051425933838,31.342426300048828
train,47,0.0,0.0,0.0,-0.5255802571773529,32.62912178039551
valid,48,0.8005603532637319,-212.30762900075604,-105.75353432374615,-0.404089093208313,31.332374572753906
train,48,0.0,0.0,0.0,-0.5580092668533325,32.72447967529297
valid,49,0.8004178827808749,-178.9869705938524,-89.09327635553576,-0.4357415437698364,31.322324752807617
train,49,0.0,0.0,0.0,-0.5993174910545349,32.56157875061035
valid,50,0.8015092053721028,-147.94206988426947,-73.57028033944869,-0.4715456962585449,31.312280654907227
train,50,0.0,0.0,0.0,-0.6364290416240692,32.66699981689453
valid,51,0.8025611427522474,-121.40263526670394,-60.30003706197584,-0.5067696571350098,31.302234649658203
train,51,0.0,0.0,0.0,-0.6809430420398712,32.54314994812012
valid,52,0.8029964777731127,-100.103821908274,-49.65041271525045,-0.5389840602874756,31.292200088500977
train,52,0.0,0.0,0.0,-0.7152007222175598,32.637773513793945
valid,53,0.8021936685808243,-84.23653141144783,-41.7171688714335,-0.5654819011688232,31.282167434692383
train,53,0.0,0.0,0.0,-0.7576858103275299,32.58658409118652
valid,54,0.8008264630071579,-70.6120026188512,-34.905588077922026,-0.590491771697998,31.272136688232422
train,54,0.0,0.0,0.0,-0.7906323969364166,32.62255096435547
valid,55,0.8010344678355802,-57.86095243884671,-28.529958985505566,-0.618672251701355,31.262107849121094
train,55,0.0,0.0,0.0,-0.8272044658660889,32.66591453552246
