mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-0.18583429726727066,-87800.3148733538,-43900.25035382553,2.248325377702713,32.05621528625488
train,0,0.0,0.0,0.0,21.33189132809639,32.29848305384318
valid,1,0.722868535523165,-17281.655372983943,-8640.46625222421,0.4278464987874031,31.93407654762268
train,1,0.0,0.0,0.0,1.3065188626448314,32.28412310282389
valid,2,0.7922166095419658,-3878.177615558032,-1938.6926994742448,-0.05850604921579361,31.812446117401123
train,2,0.0,0.0,0.0,0.18371471265951791,32.271371841430664
valid,3,0.8026448036671873,-639.3845024081797,-319.29092880225625,-0.47656675428152084,31.691346406936646
train,3,0.0,0.0,0.0,-0.28266676515340805,32.23293058077494
valid,4,0.7982793939296977,-96.1074562414856,-47.654588423777945,-0.7986027523875237,31.5707688331604
train,4,0.0,0.0,0.0,-0.6766306733091673,32.210709730784096
valid,5,0.7940848737410764,-29.003414287031298,-14.10466470664511,-0.9152128472924232,31.450732231140137
train,5,0.0,0.0,0.0,-0.9065533777077993,32.18377391497294
valid,6,0.810082100019992,-28.373358863495227,-13.781638381737617,-0.9794672280550003,31.331212520599365
train,6,0.0,0.0,0.0,-0.9858973945180575,32.1648223400116
valid,7,0.8109805997832185,-25.732955622155515,-12.460987511186147,-1.043701283633709,31.21220064163208
train,7,0.0,0.0,0.0,-1.0535947680473328,32.12218848864237
valid,8,0.8261898390487812,-19.772305309534545,-9.473057735242882,-1.131848320364952,31.09369134902954
train,8,0.0,0.0,0.0,-1.138767272233963,32.099276065826416
valid,9,0.8442350736918001,-16.220934439835194,-7.688349683071696,-1.231017529964447,30.97568917274475
train,9,0.0,0.0,0.0,-1.2291283756494522,32.067562103271484
valid,10,0.8478244597645138,-12.636804363003122,-5.894489951619304,-1.3258181810379028,30.858189344406128
train,10,0.0,0.0,0.0,-1.340765838821729,32.05491256713867
valid,11,0.8649523121068949,-9.062772120269228,-4.098909904081166,-1.4407052546739578,30.741182565689087
train,11,0.0,0.0,0.0,-1.4461456388235092,32.0415902932485
valid,12,0.8838887543200804,-6.85102100790272,-2.9835661267913194,-1.5205189436674118,30.62466287612915
train,12,0.0,0.0,0.0,-1.534533366560936,32.003554026285805
valid,13,0.8894608366706817,-5.022011221960447,-2.0662751926448832,-1.5924184918403625,30.508626461029053
train,13,0.0,0.0,0.0,-1.6274893929560978,31.974534432093304
valid,14,0.8740392717808052,-5.794785955095119,-2.460373341657157,-1.6154117584228516,30.393074989318848
train,14,0.0,0.0,0.0,-1.6853472292423248,31.937546173731487
