mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-0.3314924885573616,-41981.802593013424,-20991.067042750994,2.2429979869297574,31.961883544921875
train,0,0.0,0.0,0.0,21.809571245442267,32.41724420630413
valid,1,0.5024842179777934,-10237.034088766488,-5118.265802274254,0.7219051207814898,31.844908033098495
train,1,0.0,0.0,0.0,1.5715296346208323,32.38793530671493
valid,2,0.6347748843470045,-2198.6511801549127,-1099.0082026352832,0.18174116952078684,31.728398186819895
train,2,0.0,0.0,0.0,0.4364683990893157,32.371915900188945
valid,3,0.6474425704260865,-430.8144183821939,-215.08348790588389,-0.20003746237073625,31.612375804356166
train,3,0.0,0.0,0.0,-0.008143987344658894,32.342628893644914
valid,4,0.6368475465872308,-79.39999635155212,-39.38157440248244,-0.49514072281973703,31.496830804007395
train,4,0.0,0.0,0.0,-0.37215278977933136,32.33852220618206
valid,5,0.6407873672548694,-22.547984866391566,-10.953598749568346,-0.6200373683656965,31.381783894130162
train,5,0.0,0.0,0.0,-0.5925409690193508,32.27793411586595
valid,6,0.6341831687487731,-22.78711603181238,-11.076466431531802,-0.6522474118641445,31.267216273716517
train,6,0.0,0.0,0.0,-0.6712305260741193,32.28487686488939
valid,7,0.6559863055889533,-20.558984952112144,-9.951499323261595,-0.716901821749551,31.153118678501674
train,7,0.0,0.0,0.0,-0.7315918803215027,32.26726813938307
valid,8,0.6717948408625068,-16.436040333931317,-7.882122746534405,-0.7753701465470451,31.039483206612722
train,8,0.0,0.0,0.0,-0.7945242031760837,32.17880033410114
valid,9,0.6781317349653169,-14.998543558374065,-7.160205911704375,-0.8318445341927665,30.926310675484793
train,9,0.0,0.0,0.0,-0.8532814279846523,32.160658711972445
valid,10,0.6726940955890018,-14.16260621916915,-6.744956061790075,-0.8755303195544651,30.81360353742327
train,10,0.0,0.0,0.0,-0.9191783614780592,32.147646696671195
valid,11,0.702263001857928,-10.655719863530132,-4.976728430836102,-0.9653124638966152,30.701352528163365
train,11,0.0,0.0,0.0,-1.0052885283594546,32.17026179769765
valid,12,0.7271927357724677,-7.936067770063457,-3.6044375171454948,-1.04796188218253,30.58955274309431
train,12,0.0,0.0,0.0,-1.085544948992522,32.10149574279785
valid,13,0.7389245923042626,-6.307254785356032,-2.7841650965258853,-1.1216834698404585,30.47819628034319
train,13,0.0,0.0,0.0,-1.1654494223387346,32.09449850994608
valid,14,0.7572321377260963,-4.964570711798509,-2.103669287036207,-1.1875860605921065,30.367287499564036
train,14,0.0,0.0,0.0,-1.231369417646657,32.09254256538723
valid,15,0.7621260335229049,-4.254246859885885,-1.7460604131814903,-1.2426990270614624,30.256820678710938
train,15,0.0,0.0,0.0,-1.3030764849289604,32.007682966149375
valid,16,0.7667173500276283,-3.8152499786648173,-1.5242663143185948,-1.2865171091897147,30.146792003086635
train,16,0.0,0.0,0.0,-1.3457710691120313,32.014839255291484
valid,17,0.7689198552092708,-3.831779308125081,-1.531429726457905,-1.3122950622013636,30.037195478166854
train,17,0.0,0.0,0.0,-1.3798266804736594,31.98046012546705
valid,18,0.7735627780943654,-3.3305269596873783,-1.2784820907965064,-1.3233327184404646,29.928026744297572
train,18,0.0,0.0,0.0,-1.4004118390705274,31.940610885620117
valid,19,0.7736339889334765,-3.257497298888297,-1.2419316549774106,-1.3374916315078735,29.81928743634905
train,19,0.0,0.0,0.0,-1.4146039019460264,31.926447743954867
valid,20,0.7735681897134653,-2.891421099776827,-1.0589264550316808,-1.330622775214059,29.710973467145646
train,20,0.0,0.0,0.0,-1.4223560353984004,31.927507566369098
valid,21,0.7769170538231644,-2.8094733165085435,-1.0162781313426894,-1.3289035047803606,29.60307856968471
train,21,0.0,0.0,0.0,-1.4359284172887388,31.92102564936099
valid,22,0.7740477883506273,-2.8604863655618322,-1.0432192886056024,-1.3382845606122697,29.495600836617605
train,22,0.0,0.0,0.0,-1.4352987175402434,31.885684137759
valid,23,0.7732840883869805,-2.9702050799640287,-1.098460495788524,-1.34882686819349,29.38853427342006
train,23,0.0,0.0,0.0,-1.4511122340741365,31.830355271049168
valid,24,0.7527400850462109,-4.08947043517894,-1.6683651750663648,-1.3083739621298653,29.28188160487584
train,24,0.0,0.0,0.0,-1.4536608975866567,31.8151158042576
valid,25,0.773777658431431,-2.879865900995678,-1.0530441212821235,-1.3528755562646049,29.175638471330917
train,25,0.0,0.0,0.0,-1.4503598057705422,31.848912943964418
valid,26,0.7740266141222115,-3.0743278824007017,-1.1501506341392453,-1.3514727354049683,29.069800513131277
train,26,0.0,0.0,0.0,-1.472112546796384,31.797733721525773
valid,27,0.775747912432035,-2.994544676623542,-1.1093983820957534,-1.357063157217843,28.964363643101283
train,27,0.0,0.0,0.0,-1.4720438874286155,31.766050670457922
