mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,0.3328088019972789,-9987.361495344107,-4993.514343271055,1.178931245437035,31.82587564908541
train,0,0.0,0.0,0.0,13.630263011629989,32.232456067713294
valid,1,0.6253179420089944,-624.2222607757499,-311.7984714168705,0.16661575207343468,31.618575903085564
train,1,0.0,0.0,0.0,0.6003666214826631,32.21494837505062
valid,2,0.5969062540381699,-37.846513137812266,-18.624803441887046,-0.2928092021208543,31.41281333336463
train,2,0.0,0.0,0.0,-0.0977331370842166,32.17380709764434
valid,3,0.6276304031275722,-19.20370082231593,-9.288035209594177,-0.4012412749803983,31.20860055776743
train,3,0.0,0.0,0.0,-0.3606531620025635,32.14240343977765
valid,4,0.6033388472552862,-19.724735994863472,-9.560698573804094,-0.44409171434549183,31.005878301767204
train,4,0.0,0.0,0.0,-0.43522442550193974,32.114783217267295
valid,5,0.6341854494958213,-15.224586009939852,-7.2952002802220175,-0.5555558800697327,30.80462939922626
train,5,0.0,0.0,0.0,-0.5239787072670169,32.08161549451874
valid,6,0.6573416494758302,-12.018831241400902,-5.680744795962535,-0.6686643316195562,30.604839324951172
train,6,0.0,0.0,0.0,-0.6333533903447593,32.03757518675269
valid,7,0.6668087050366626,-9.600461213529478,-4.466826254246407,-0.7828152959163373,30.406474920419548
train,7,0.0,0.0,0.0,-0.7545750911642866,32.024050782366494
valid,8,0.6950648824893675,-7.300007069874208,-3.3024710936924198,-0.8988974048541143,30.209524154663086
train,8,0.0,0.0,0.0,-0.8682798219890129,31.98022065511564
valid,9,0.714432493519886,-5.375980466924417,-2.3307739867022654,-0.9743804106345544,30.013963846059944
train,9,0.0,0.0,0.0,-0.956144639631597,31.959476191823075
valid,10,0.7212896213580516,-5.067227416046199,-2.1729688973440737,-1.0088271590379567,29.81976890563965
train,10,0.0,0.0,0.0,-1.005689173209958,31.89207337542278
valid,11,0.721890415871558,-4.562392711758343,-1.9202511479433928,-1.017392905858847,29.62692979665903
train,11,0.0,0.0,0.0,-1.0373651588835366,31.871079979873286
valid,12,0.723627153900394,-4.599888881918263,-1.9381308640089343,-1.0380942592254052,29.435422310462364
train,12,0.0,0.0,0.0,-1.0459941930887175,31.836651639240543
valid,13,0.7181326330328519,-5.012591888062565,-2.147229627514857,-1.0401521279261663,29.245227813720703
train,13,0.0,0.0,0.0,-1.0668255410543301,31.79942600901534
valid,14,0.7092854867579284,-5.018074488803449,-2.15439450102276,-1.0358124879690318,29.0563351557805
train,14,0.0,0.0,0.0,-1.0736709048108357,31.763054870977633
valid,15,0.7236125935081872,-4.442069338722629,-1.8592283726072207,-1.0493902472349315,28.868723062368538
train,15,0.0,0.0,0.0,-1.077363249732227,31.749754463754048
valid,16,0.7033621747099421,-5.182287218120896,-2.2394625217054775,-1.0170378180650563,28.68237407390888
train,16,0.0,0.0,0.0,-1.0893894026919109,31.716322596480207
valid,17,0.7041978356947897,-5.427405080522887,-2.361603622414048,-1.0296124403293316,28.497277333186222
train,17,0.0,0.0,0.0,-1.081245928275876,31.667079088164538
valid,18,0.7147800284564538,-4.68386318846191,-1.984541580002728,-1.0402607505138104,28.31341420687162
train,18,0.0,0.0,0.0,-1.0928077639603033,31.6368947843226
valid,19,0.7253713046674091,-4.345374317953369,-1.81000150664298,-1.0541664774601276,28.130768115703876
train,19,0.0,0.0,0.0,-1.1022266992708531,31.595965269135267
valid,20,0.7214597010091333,-4.458107987725241,-1.8683241433580544,-1.0521160134902368,27.94932981637808
train,20,0.0,0.0,0.0,-1.1142637816871084,31.57956062875143
valid,21,0.7249356306938454,-4.557174973915091,-1.916119671610623,-1.0506908756036024,27.76908199603741
train,21,0.0,0.0,0.0,-1.1129090873206533,31.535592148943646
valid,22,0.727527912998447,-4.081192938283116,-1.6768325126423345,-1.0515427818665137,27.590008222139797
train,22,0.0,0.0,0.0,-1.1244512302119558,31.510198918784535
valid,23,0.726626927558433,-4.176637174449404,-1.7250051234454855,-1.0508544720136201,27.412098517784706
train,23,0.0,0.0,0.0,-1.1325924861721877,31.462634388993425
valid,24,0.7259695565264812,-3.745669526448851,-1.509849984961185,-1.041862542812641,27.235341732318584
train,24,0.0,0.0,0.0,-1.1371701374286558,31.4307576621451
valid,25,0.7201050850097191,-4.5191502049475485,-1.8995225599689147,-1.046940056177286,27.059721139761116
train,25,0.0,0.0,0.0,-1.1409359152724103,31.39693711443645
valid,26,0.7247756626351892,-4.336800340939779,-1.8060123391522949,-1.0336483762814448,26.885223975548378
train,26,0.0,0.0,0.0,-1.1504610195392515,31.351882190239138
valid,27,0.729816955245042,-4.0417148882753136,-1.6559489665151352,-1.0390279155511122,26.7118407029372
train,27,0.0,0.0,0.0,-1.1526682057031772,31.321214722424017
valid,28,0.7292010008433704,-3.961198088377204,-1.6159985437669169,-1.0340250592965345,26.53955943767841
train,28,0.0,0.0,0.0,-1.161567071589028,31.284211972864664
valid,29,0.7274580247019083,-3.40904064323669,-1.340791309267391,-1.025116530748514,26.368366094735954
train,29,0.0,0.0,0.0,-1.1654824105704702,31.258780409650104
valid,30,0.726883968705467,-3.985351812616105,-1.6292339219553196,-1.0268253408945525,26.198249963613655
train,30,0.0,0.0,0.0,-1.1660144997806083,31.227841540080746
valid,31,0.7287924308349818,-3.589833028602553,-1.4305202988837857,-1.0284057167860179,26.029200333815353
train,31,0.0,0.0,0.0,-1.1642659059384974,31.207078561550233
valid,32,0.7273651816287879,-3.9084911466644465,-1.590562982517829,-1.0236292848220239,25.861207962036133
train,32,0.0,0.0,0.0,-1.192257317101083,31.162968798381527
valid,33,0.7247655119620989,-3.499680991446973,-1.3874577397424372,-1.0296356127812312,25.69425993699294
train,33,0.0,0.0,0.0,-1.2008715460940105,31.125230370498286
valid,34,0.7277747122881565,-3.1298934428702037,-1.2010593652910235,-1.0007258974588835,25.528345108032227
train,34,0.0,0.0,0.0,-1.2103448292104209,31.108055952118665
valid,35,0.7245061224068503,-3.3936762599832346,-1.334585068788192,-1.012631274186648,25.363455112163837
train,35,0.0,0.0,0.0,-1.2233973857833118,31.047425293340915
valid,36,0.7262516453985147,-3.2690001877902555,-1.2713742711958707,-1.0060810492588923,25.19957997248723
train,36,0.0,0.0,0.0,-1.2233821473470547,31.01306938543552
valid,37,0.7018550030601511,-3.3001948604690585,-1.2991699287044538,-0.9917584428420434,25.03671044569749
train,37,0.0,0.0,0.0,-1.254398168587103,30.9862883032822
valid,38,0.7106376530672873,-3.0963880030169615,-1.192875174974837,-0.9724336083118732,24.87483464754545
train,38,0.0,0.0,0.0,-1.272912909344929,30.96399274686488
valid,39,0.7200294263514239,-3.0407846704361843,-1.1603776220423803,-0.9715887216421274,24.71394333472619
train,39,0.0,0.0,0.0,-1.2971069609246604,30.9091711742122
valid,40,0.7146854839213059,-3.4761375258765668,-1.3807260209776304,-0.9658166857866141,24.554029024564304
train,40,0.0,0.0,0.0,-1.3109815556828568,30.887877115389195
valid,41,0.7018188256012012,-3.1517564350910403,-1.2249688047449199,-0.9481268433424143,24.395082620474007
train,41,0.0,0.0,0.0,-1.3394105056437051,30.851962438443813
valid,42,0.7175904026079163,-2.1568321876650227,-0.7196208925285533,-0.9269532836400546,24.237095759465145
train,42,0.0,0.0,0.0,-1.3692832254781955,30.82756084349097
valid,43,0.7106241718627895,-2.2031823174829728,-0.7462790728100916,-0.9294725564809946,24.080057877760666
train,43,0.0,0.0,0.0,-1.387948783432565,30.782930467186905
valid,44,0.6768445884749684,-2.5906444701973634,-0.9568999408611976,-0.9085975289344788,23.923961052527794
train,44,0.0,0.0,0.0,-1.3828981155302467,30.734247347203695
valid,45,0.7099649744558151,-1.901521591311405,-0.5957783084277949,-0.8919144364503714,23.768796920776367
train,45,0.0,0.0,0.0,-1.404970753483656,30.713653797056615
valid,46,0.7116060980834074,-1.834890392843754,-0.5616421473801733,-0.8791391895367549,23.61455873342661
train,46,0.0,0.0,0.0,-1.430395518861166,30.679065890428497
valid,47,0.7110886934819542,-1.7956819224930187,-0.5422966145055322,-0.8798284622339102,23.461238567645733
train,47,0.0,0.0,0.0,-1.4505129471057798,30.655064466522962
valid,48,0.7119087552225942,-1.7297540578817006,-0.5089226513295534,-0.858169097166795,23.30882718012883
train,48,0.0,0.0,0.0,-1.4624190214203625,30.62615631847847
valid,49,0.7086529850556942,-1.6078344102494255,-0.44959071259686545,-0.8453317284584045,23.15731723491962
train,49,0.0,0.0,0.0,-1.475303838892681,30.59323101508908
valid,50,0.7048491649450797,-1.6393528104777384,-0.4672518227663293,-0.8507399100523728,23.006700369027946
train,50,0.0,0.0,0.0,-1.4931605240193808,30.546224221950624
valid,51,0.7104904983847725,-1.4348072869431716,-0.3621583942791996,-0.8112642168998718,22.8569702735314
train,51,0.0,0.0,0.0,-1.4972191322140578,30.528033512394604
valid,52,0.7097898103066657,-1.5943097825199075,-0.4422599861066209,-0.830162891974816,22.708120346069336
train,52,0.0,0.0,0.0,-1.5116269152338913,30.475643669686665
valid,53,0.7044816362469832,-1.6211154084701478,-0.4583168861115822,-0.8302683188365056,22.560142663808968
train,53,0.0,0.0,0.0,-1.504312052959349,30.45770207847037
valid,54,0.7060279849640073,-1.5463571489394505,-0.4201645819877214,-0.842250828559582,22.413031357985275
train,54,0.0,0.0,0.0,-1.5145106053933866,30.414073804529703
valid,55,0.6803086475972937,-1.6277501898418552,-0.47372077112228084,-0.8294761043328506,22.26677762545072
train,55,0.0,0.0,0.0,-1.526832417743962,30.384557491395533
valid,56,0.7023683215543114,-1.4693398073395478,-0.38348574289261816,-0.806624696804927,22.12137618431678
train,56,0.0,0.0,0.0,-1.537211999660585,30.354385887704243
