mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-11.9546741691193,-108509.16951298702,-54260.56209357807,20.190389156341553,32.15781879425049
train,0,0.0,0.0,0.0,35.58231910069784,32.46101093292236
valid,1,-0.3510563206711373,-49895.99434804941,-24948.172702185042,2.3328455090522766,32.09656238555908
train,1,0.0,0.0,0.0,9.049082855383555,32.421082496643066
valid,2,0.14052904107353903,-18739.004576886327,-9369.432023922627,1.568803459405899,32.03544807434082
train,2,0.0,0.0,0.0,1.9040824969609578,32.414437770843506
valid,3,0.6237170316569216,-9948.06264738537,-4973.719465176857,0.5251952260732651,31.9744553565979
train,3,0.0,0.0,0.0,0.965451180934906,32.39076360066732
valid,4,0.6372694731416639,-5137.193683565478,-2568.278207046168,0.2906096279621124,31.913588523864746
train,4,0.0,0.0,0.0,0.4201800972223282,32.3935432434082
valid,5,0.688612604012221,-2241.205978884346,-1120.2586831401668,0.03333646059036255,31.85285472869873
train,5,0.0,0.0,0.0,0.14756647745768228,32.37431971232096
valid,6,0.703252649629787,-944.4886933117821,-471.8927203310762,-0.17834998667240143,31.792255878448486
train,6,0.0,0.0,0.0,-0.07882991929848988,32.34101517995199
valid,7,0.7069745527265907,-380.46871440503503,-189.88086992615425,-0.37477250397205353,31.731785774230957
train,7,0.0,0.0,0.0,-0.2856539338827133,32.33870887756348
valid,8,0.7043743715438492,-148.2955192875346,-73.79557245799538,-0.5473072081804276,31.671444416046143
train,8,0.0,0.0,0.0,-0.47328541179498035,32.331547578175865
valid,9,0.6819453076818288,-63.783549313240755,-31.550802002779463,-0.660821720957756,31.611238479614258
train,9,0.0,0.0,0.0,-0.6391912798086802,32.2979032198588
valid,10,0.6920233498842685,-29.816025833559763,-14.562001241837745,-0.7238319963216782,31.55116844177246
train,10,0.0,0.0,0.0,-0.7515019625425339,32.2669464747111
valid,11,0.6681686497986059,-23.933725035531182,-11.632778192866287,-0.7470835000276566,31.491230487823486
train,11,0.0,0.0,0.0,-0.7871267149845759,32.262513637542725
valid,12,0.6652369125168045,-24.424682940267896,-11.879723013875546,-0.7737089842557907,31.431421756744385
train,12,0.0,0.0,0.0,-0.8419393549362818,32.22612698872884
