mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,0.2542136874396706,-15226.386068974809,-7613.0659276436845,1.2258630394935608,31.910558223724365
train,0,0.0,0.0,0.0,14.729443060724359,32.18524957958021
valid,1,0.618482877225497,-1487.4301799872646,-743.4058485550196,0.10081681609153748,31.7181658744812
train,1,0.0,0.0,0.0,0.5299322934527146,32.15370188261333
valid,2,0.632476320308242,-86.4649208180918,-42.916222248891785,-0.4503239691257477,31.527092615763348
train,2,0.0,0.0,0.0,-0.21353510492726377,32.14174155185097
valid,3,0.6025617531171251,-25.42919020951037,-12.413314228196624,-0.5914317319790522,31.337355772654217
train,3,0.0,0.0,0.0,-0.5778799370715493,32.099652541311166
valid,4,0.5992323280329181,-26.224649440711715,-12.8127085563394,-0.6567385743061701,31.14891179402669
train,4,0.0,0.0,0.0,-0.6735339666667738,32.10128427806654
valid,5,0.6125767426559353,-20.564913420133948,-9.976168338739006,-0.7448972364266714,30.96173095703125
train,5,0.0,0.0,0.0,-0.769781790281597,32.04921190362228
valid,6,0.6879379729348245,-12.772039536903671,-6.042050781984423,-0.910129522283872,30.775815963745117
train,6,0.0,0.0,0.0,-0.8922469866903204,32.01423574748792
valid,7,0.7036181603444125,-9.173266833987979,-4.2348243368217835,-1.0568107068538666,30.5911389986674
train,7,0.0,0.0,0.0,-1.0366447207174803,31.971149494773464
valid,8,0.7227041243075515,-7.069485110130152,-3.1733904929113006,-1.1689905573924382,30.407676855723064
train,8,0.0,0.0,0.0,-1.157768848695253,31.93560464758622
valid,9,0.7482753368003393,-5.050962767551478,-2.151343715375569,-1.2656880219777424,30.225425243377686
train,9,0.0,0.0,0.0,-1.269669401018243,31.907183898122685
valid,10,0.7511046992405204,-4.549202390493336,-1.8990488456264076,-1.3143611550331116,30.044361114501953
train,10,0.0,0.0,0.0,-1.3342707564956264,31.886985879195365
valid,11,0.7588436671977066,-3.9074362025631686,-1.5742962676827308,-1.3330569763978322,29.86446475982666
train,11,0.0,0.0,0.0,-1.3662967211321781,31.837842087996634
valid,12,0.7621743147426917,-3.629815532002985,-1.433820608630147,-1.3462032576402028,29.685732046763103
train,12,0.0,0.0,0.0,-1.3807357675150822,31.80306615327534
valid,13,0.7567889610688456,-3.95271033918718,-1.5979606890591669,-1.347167690594991,29.50814151763916
train,13,0.0,0.0,0.0,-1.3948140771765458,31.788592288368626
valid,14,0.7646418514444363,-3.570205064379214,-1.402781606467389,-1.3552662233511608,29.331678072611492
train,14,0.0,0.0,0.0,-1.3988204629797685,31.743053135118988
valid,15,0.7574067445842888,-3.875631259298831,-1.5591122573572713,-1.3538780212402344,29.156333446502686
train,15,0.0,0.0,0.0,-1.4043254256248474,31.713235704522383
valid,16,0.7615844524257174,-3.149788732829352,-1.194102140201817,-1.3617631296316783,28.982090791066486
train,16,0.0,0.0,0.0,-1.4159998580029136,31.660706620467337
valid,17,0.761957944452938,-3.119948556345165,-1.1789953059461133,-1.3494044641653697,28.808934847513836
train,17,0.0,0.0,0.0,-1.4202210024783486,31.660029361122533
valid,18,0.7596772849660464,-3.2763145654360364,-1.2583186402349948,-1.363778253396352,28.636858463287354
train,18,0.0,0.0,0.0,-1.4302657654410915,31.622273696096318
valid,19,0.7518280149138338,-2.765494294144131,-1.0068331396151486,-1.3279195328553517,28.46584701538086
train,19,0.0,0.0,0.0,-1.4347307650666488,31.59106098978143
valid,20,0.7599584817974727,-3.2142048695396084,-1.227123193871068,-1.3654541075229645,28.295886198679607
train,20,0.0,0.0,0.0,-1.4346949646347447,31.552780954461348
valid,21,0.7591850045192211,-2.977213553166909,-1.109014274323844,-1.3607590993245442,28.126965363820393
train,21,0.0,0.0,0.0,-1.445296049118042,31.508784846255654
valid,22,0.7608861920184994,-2.5312827481097444,-0.8851982780456228,-1.3454205691814423,27.95907688140869
train,22,0.0,0.0,0.0,-1.4484547000182302,31.507467470671003
valid,23,0.7612821085986078,-3.0191542163086087,-1.1289360538550004,-1.3641536732514699,27.792206287384033
train,23,0.0,0.0,0.0,-1.4478827275727923,31.490156876413447
