mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-25.36483344963977,-72396.9998924627,-36211.18236295617,34.04800923665365,32.20541000366211
train,0,0.0,0.0,0.0,41.67124387953017,32.431634691026474
valid,1,-7.809357848613406,-35136.81470931169,-17572.312033580154,11.788753191630045,32.15933354695638
train,1,0.0,0.0,0.0,19.40122085147434,32.47789997524686
valid,2,-0.9916969243454105,-26226.689594969084,-13113.840645946715,3.035712798436483,32.11332257588705
train,2,0.0,0.0,0.0,5.310529390970866,32.67296006944444
valid,3,-0.42936054157691145,-10185.041627749613,-5092.735494145595,2.0702001253763833,32.06739171346029
train,3,0.0,0.0,0.0,2.0235591199662952,32.436765882703995
valid,4,0.30193664206176246,-7773.398059836786,-3886.5480615973624,1.091402808825175,32.021532694498696
train,4,0.0,0.0,0.0,1.378953794638316,32.74004872639974
valid,5,0.458852987481799,-3235.8694899886164,-1617.7053185005673,0.633535365263621,31.97573979695638
train,5,0.0,0.0,0.0,0.802443610297309,32.685381995307075
valid,6,0.5941624012191805,-2113.073780664193,-1056.2398091314867,0.37139542897542316,31.930021286010742
train,6,0.0,0.0,0.0,0.4431922435760498,32.56248241000705
valid,7,0.6019100313475935,-1044.5742275410305,-521.9861587548415,0.1851717233657837,31.88437843322754
train,7,0.0,0.0,0.0,0.22387796640396118,32.47669707404243
valid,8,0.6144062442011363,-555.1118183444299,-277.24870605011444,0.03165292739868164,31.83881123860677
train,8,0.0,0.0,0.0,0.0759903457429674,32.45523156060113
valid,9,0.6230339266990487,-291.14201480171965,-145.25949043751032,-0.10938974221547444,31.79331906636556
train,9,0.0,0.0,0.0,-0.07399298085106744,32.51085895962186
valid,10,0.6202093962641811,-140.62928428892278,-70.00453744632931,-0.24092320601145426,31.747896194458008
train,10,0.0,0.0,0.0,-0.23356578085157606,32.44412061903212
valid,11,0.6263442607104164,-73.49530846703986,-36.434482103164726,-0.3456978003184001,31.70254643758138
train,11,0.0,0.0,0.0,-0.3572015364964803,32.51912943522135
valid,12,0.6280096856225276,-38.430809061900426,-18.901399688138948,-0.42571592330932617,31.657276789347332
train,12,0.0,0.0,0.0,-0.4628042247560289,32.46005630493164
valid,13,0.6253601801666623,-22.374724334723123,-10.874682077278228,-0.47192203998565674,31.612080256144207
train,13,0.0,0.0,0.0,-0.5181297593646579,32.310845057169594
valid,14,0.598965774564182,-17.538869075135974,-8.469951650285894,-0.46182533105214435,31.56696065266927
train,14,0.0,0.0,0.0,-0.5546165969636705,32.63732571072049
valid,15,0.6162522619357157,-14.180429801473757,-6.782088769769021,-0.5013606548309326,31.521914800008137
train,15,0.0,0.0,0.0,-0.5929068856769137,32.62007480197482
valid,16,0.6269076509334647,-13.063150478754814,-6.2181214139106755,-0.5275492668151855,31.47694142659505
train,16,0.0,0.0,0.0,-0.6220365431573656,32.26129150390625
valid,17,0.6312198111811744,-12.94743432103916,-6.158107254928992,-0.5427023569742838,31.432039896647137
train,17,0.0,0.0,0.0,-0.6642338832219442,32.46624459160699
valid,18,0.6429830145044243,-10.51805304936098,-4.937535017428278,-0.5546228885650635,31.38720957438151
train,18,0.0,0.0,0.0,-0.6990801890691122,32.156525717841255
valid,19,0.6482117118923082,-10.879036266883395,-5.115412277495543,-0.5842638413111368,31.342451731363933
train,19,0.0,0.0,0.0,-0.7049969765875075,32.4272083706326
valid,20,0.6505763596187583,-9.223921841971412,-4.286672741176327,-0.5884163975715637,31.297767003377277
train,20,0.0,0.0,0.0,-0.7553809483846029,32.20387946234809
valid,21,0.6530335804360107,-10.044912223140097,-4.695939321352044,-0.6225065390268961,31.253149032592773
train,21,0.0,0.0,0.0,-0.784378343158298,32.32854143778483
valid,22,0.653337261954023,-9.700675144346716,-4.523668941196347,-0.6399427254994711,31.208603541056316
train,22,0.0,0.0,0.0,-0.7947581013043722,32.30610656738281
valid,23,0.6626998129019347,-8.307745957201911,-3.822523072149988,-0.6692947745323181,31.164127349853516
train,23,0.0,0.0,0.0,-0.831740591261122,32.10847409566244
valid,24,0.6668409581611804,-6.942242055810067,-3.137700548824443,-0.6811116139094034,31.11972427368164
train,24,0.0,0.0,0.0,-0.8753222624460856,32.189226150512695
valid,25,0.6751872194271854,-6.463270529923221,-2.8940416552480177,-0.7150154511133829,31.07539176940918
train,25,0.0,0.0,0.0,-0.929256882932451,32.061414294772675
valid,26,0.6705614260525424,-6.988359446704588,-3.158899010326022,-0.7329818805058798,31.03113301595052
