mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-0.32277792974943575,-37335.81653835086,-18668.069658140303,2.7412566079033747,32.035316467285156
train,0,0.0,0.0,0.0,19.721725340242738,32.31729168362088
valid,1,0.656908198203522,-5366.452531548753,-2682.8978116752746,0.622992111576928,31.89819399515788
train,1,0.0,0.0,0.0,1.3643252054850261,32.2990269837556
valid,2,0.7006177019087835,-920.1641032968079,-459.73174279744956,0.11491309271918403,31.76172426011827
train,2,0.0,0.0,0.0,0.38626567743442675,32.25056273848922
valid,3,0.706014307259578,-129.8418669830862,-64.56792633791332,-0.27750853697458905,31.625919977823894
train,3,0.0,0.0,0.0,-0.06388749458171704,32.246263362743235
valid,4,0.6841326332651303,-33.580632351509024,-16.448249859121947,-0.4270768231815762,31.49079132080078
train,4,0.0,0.0,0.0,-0.3486280485435768,32.23274230957031
valid,5,0.7151346334130497,-25.726065181932185,-12.505465274259565,-0.49071747064590454,31.3563289642334
train,5,0.0,0.0,0.0,-0.4502240375236229,32.17678126582393
valid,6,0.7214261815781056,-24.1337162643166,-11.706145041369247,-0.5470905900001526,31.22251213921441
train,6,0.0,0.0,0.0,-0.5021068652470907,32.152004383228444
valid,7,0.6997964515536448,-25.928614185621896,-12.614408867034125,-0.5851311948564317,31.089328977796768
train,7,0.0,0.0,0.0,-0.5654386591028284,32.131051240143954
valid,8,0.727028529429663,-20.021683852711405,-9.647327661640874,-0.687254978550805,30.95678816901313
train,8,0.0,0.0,0.0,-0.6424810356563992,32.12950946666576
valid,9,0.727996469628565,-17.34105257731652,-8.306528053843978,-0.7691121300061544,30.824880811903213
train,9,0.0,0.0,0.0,-0.7378306300551803,32.063317899350764
valid,10,0.754585266243096,-12.414012028489866,-5.829713381123384,-0.8958715399106344,30.693597157796223
train,10,0.0,0.0,0.0,-0.8432370976165489,32.060828102959526
valid,11,0.7473904238374454,-11.643105133188953,-5.447857354675753,-0.9601474073198106,30.562924279106987
train,11,0.0,0.0,0.0,-0.932867204701459,32.03875174345794
valid,12,0.7645978039885093,-9.095989601590082,-4.165695898800786,-1.0452713833914862,30.4328670501709
train,12,0.0,0.0,0.0,-1.0229224275659632,31.994703151561595
valid,13,0.7666738280891887,-8.178400912282818,-3.7058635420968153,-1.0978030098809137,30.303415722317165
train,13,0.0,0.0,0.0,-1.0874768451408103,31.9865340480098
valid,14,0.7762249817867062,-6.832618192862015,-3.028196605537654,-1.1308207313219707,30.174564997355144
train,14,0.0,0.0,0.0,-1.1296690614135176,31.922587995175963
valid,15,0.7722031004087814,-5.547311488508236,-2.3875541940497276,-1.106817040178511,30.04630406697591
train,15,0.0,0.0,0.0,-1.143258390603242,31.89446258544922
valid,16,0.778358836953415,-6.508132572061946,-2.864886867554265,-1.1537773278024461,29.91863335503472
train,16,0.0,0.0,0.0,-1.1615458373670224,31.87514086122866
valid,17,0.7675879101187233,-7.4726853397160244,-3.3525487147986492,-1.1470033327738445,29.79154947068956
train,17,0.0,0.0,0.0,-1.175439061941924,31.86848379064489
valid,18,0.7789355067781042,-6.14499687579028,-2.683030684506088,-1.1620891491572063,29.665042453342014
train,18,0.0,0.0,0.0,-1.1838428532635723,31.822201764142072
valid,19,0.7687285942754157,-6.7097589015305905,-2.9705151536275873,-1.1573623021443684,29.539106157090927
train,19,0.0,0.0,0.0,-1.191843584731773,31.785506778293186
valid,20,0.7694736642298825,-6.698279614071122,-2.9644029749206204,-1.1641591125064426,29.413738674587673
train,20,0.0,0.0,0.0,-1.19719394048055,31.79004845795808
valid,21,0.7778062672491439,-6.245012270279566,-2.733603001515211,-1.166355186038547,29.28893576727973
train,21,0.0,0.0,0.0,-1.204941056392811,31.74702630219636
valid,22,0.780274366088085,-5.638792892330493,-2.4292592631212035,-1.1633447607358296,29.164690653483074
train,22,0.0,0.0,0.0,-1.2130757217054013,31.71726968553331
valid,23,0.7720798833067855,-6.778980723872795,-3.003450420283005,-1.1700256665547688,29.04100079006619
train,23,0.0,0.0,0.0,-1.2181481255425348,31.709482263635707
valid,24,0.7747566533465166,-6.207370574660938,-2.716306960657211,-1.1718649996651544,28.917856640285915
train,24,0.0,0.0,0.0,-1.2257411700707894,31.66778500874837
valid,25,0.7782610001151957,-6.210545807971336,-2.71614240392807,-1.1697976522975497,28.79525926378038
train,25,0.0,0.0,0.0,-1.2259387837515936,31.628738120750146
valid,26,0.77226082855166,-6.618338396286579,-2.92303878386746,-1.1665455169147916,28.673202090793186
train,26,0.0,0.0,0.0,-1.2336364719602797,31.596684137980144
valid,27,0.7782042361260857,-5.716310455693648,-2.469053109783782,-1.1664978530671861,28.55168130662706
train,27,0.0,0.0,0.0,-1.2324225593496252,31.570615627147532
valid,28,0.7769265514520151,-5.734905195441559,-2.4789893219947725,-1.1700883838865492,28.430691613091362
train,28,0.0,0.0,0.0,-1.24344919345997,31.548989755135995
