mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-25.350651279572517,-101203.47215221774,-50614.41140174866,39.71955108642578,32.94063949584961
train,0,0.0,0.0,0.0,40.514259338378906,32.69761085510254
valid,1,-24.595603573706843,-100625.64207409274,-50325.11883883322,38.59738540649414,32.9302978515625
train,1,0.0,0.0,0.0,39.75618362426758,32.62820053100586
valid,2,-23.236050205845988,-99408.2726814516,-49715.754365828725,36.57791519165039,32.919960021972656
train,2,0.0,0.0,0.0,38.4344596862793,32.534841537475586
valid,3,-20.910419740984516,-97003.7507560484,-48512.33058789469,33.12518310546875,32.90962219238281
train,3,0.0,0.0,0.0,36.06172752380371,32.705190658569336
valid,4,-17.216388794683642,-92583.2734375,-46300.24491314734,27.64393424987793,32.899288177490234
train,4,0.0,0.0,0.0,32.15485858917236,32.620073318481445
valid,5,-11.993378454639066,-85068.11498235886,-42540.054180406754,19.902528762817383,32.88896179199219
train,5,0.0,0.0,0.0,26.0244197845459,32.7073974609375
valid,6,-6.333727759699667,-73455.89774445565,-36731.11573610768,11.550202369689941,32.878631591796875
train,6,0.0,0.0,0.0,17.863715171813965,32.64771270751953
valid,7,-4.5559005352758595,-58237.004189768144,-29120.78004515171,9.072497367858887,32.86830520629883
train,7,0.0,0.0,0.0,10.29765510559082,32.69963455200195
valid,8,-5.487127519422962,-46547.62103074597,-23276.554079132697,10.545559883117676,32.85798645019531
train,8,0.0,0.0,0.0,9.786585330963135,32.56235122680664
valid,9,-2.44087633778972,-41485.0574281754,-20743.749152256594,5.866979122161865,32.84766387939453
train,9,0.0,0.0,0.0,9.403320789337158,32.62375259399414
valid,10,-0.37674856185913086,-40022.93318422379,-20011.654966392824,2.638721466064453,32.83734893798828
train,10,0.0,0.0,0.0,4.785356163978577,32.61857986450195
valid,11,-0.25703128499369465,-39060.72142767137,-19530.489229478182,2.3696532249450684,32.82704162597656
train,11,0.0,0.0,0.0,2.4624881744384766,32.533409118652344
valid,12,-0.41337678124827726,-36513.1908077117,-18256.80209224647,2.552063226699829,32.816734313964844
train,12,0.0,0.0,0.0,2.423479199409485,32.73818016052246
valid,13,-0.1239539057977738,-31954.9833984375,-15977.553676171648,2.086956024169922,32.806427001953125
train,13,0.0,0.0,0.0,2.5146747827529907,32.62525939941406
valid,14,0.3135569057156963,-26122.13386781754,-13060.910155455913,1.4091787338256836,32.7961311340332
train,14,0.0,0.0,0.0,1.9110654592514038,32.65073204040527
valid,15,0.3401182986074878,-20469.950132308466,-10234.805007004928,1.3502501249313354,32.78583908081055
train,15,0.0,0.0,0.0,1.333238661289215,32.60178756713867
valid,16,0.07588355002864715,-16378.033250378025,-8188.978683413998,1.7222657203674316,32.77554702758789
train,16,0.0,0.0,0.0,1.4189408421516418,32.55597496032715
valid,17,0.1641256559279657,-14290.817603326614,-7145.326738835342,1.5516576766967773,32.7652587890625
train,17,0.0,0.0,0.0,1.6757193207740784,32.525081634521484
valid,18,0.4714277925029878,-13577.289314516129,-6788.408943361813,1.0465056896209717,32.75497055053711
train,18,0.0,0.0,0.0,1.389624536037445,32.52580261230469
valid,19,0.5710253330969042,-13250.865888041835,-6625.1474313543695,0.859743595123291,32.744693756103516
train,19,0.0,0.0,0.0,0.9517862200737,32.5658073425293
valid,20,0.5375870350868471,-12501.581188571068,-6250.5218007679905,0.8798496723175049,32.73441696166992
train,20,0.0,0.0,0.0,0.8436379134654999,32.60389709472656
valid,21,0.5813881870239012,-11046.67562767767,-5523.0471197453235,0.7861593961715698,32.72414016723633
train,21,0.0,0.0,0.0,0.8611160218715668,32.57625198364258
valid,22,0.6887718939012096,-9154.75958842616,-4577.035408266129,0.5961964130401611,32.7138671875
train,22,0.0,0.0,0.0,0.7246957123279572,32.50185012817383
valid,23,0.7233538512260683,-7312.452935987903,-3655.8647910683385,0.5155605673789978,32.7036018371582
train,23,0.0,0.0,0.0,0.5252240598201752,32.335466384887695
valid,24,0.6761378818942655,-5953.188427340599,-2976.2561447293524,0.5581559538841248,32.69333267211914
train,24,0.0,0.0,0.0,0.4662783741950989,32.526601791381836
valid,25,0.6839563077495944,-5188.269757670741,-2593.7929006814957,0.5164773464202881,32.68307113647461
train,25,0.0,0.0,0.0,0.4829416871070862,32.47613716125488
valid,26,0.7496481345545861,-4841.090152863533,-2420.1702523644894,0.3867366313934326,32.672813415527344
train,26,0.0,0.0,0.0,0.42217186093330383,32.569557189941406
valid,27,0.7751271455518661,-4624.605218702747,-2311.9150457785977,0.31954795122146606,32.66256332397461
train,27,0.0,0.0,0.0,0.30295529961586,32.61513137817383
valid,28,0.7627203541417276,-4303.960728799143,-2151.5990042225008,0.3101775646209717,32.652313232421875
train,28,0.0,0.0,0.0,0.25572916865348816,32.49106979370117
valid,29,0.7723698231481737,-3763.0374263640374,-1881.1325282704447,0.26472920179367065,32.642066955566406
train,29,0.0,0.0,0.0,0.2544006109237671,32.50517272949219
valid,30,0.7939867781054589,-3111.020038235572,-1555.1130257287332,0.19805848598480225,32.63182830810547
train,30,0.0,0.0,0.0,0.19583633542060852,32.5847110748291
valid,31,0.7875437755738536,-2532.0741439327116,-1265.643300078569,0.17368239164352417,32.621585845947266
train,31,0.0,0.0,0.0,0.11556321382522583,32.45541191101074
valid,32,0.7738700720571703,-2129.295669063445,-1064.260899495694,0.16158318519592285,32.611351013183594
train,32,0.0,0.0,0.0,0.09633225202560425,32.58817672729492
valid,33,0.7882617596657046,-1903.9442158360634,-951.5779770381989,0.10798156261444092,32.60111999511719
train,33,0.0,0.0,0.0,0.06909680366516113,32.49230766296387
valid,34,0.8046330713456676,-1761.2360470679498,-880.215706998302,0.052881479263305664,32.59089279174805
train,34,0.0,0.0,0.0,0.01290220022201538,32.40500259399414
valid,35,0.8062706570471486,-1602.4877270114036,-800.8407281771782,0.02036607265472412,32.580665588378906
train,35,0.0,0.0,0.0,-0.03682747483253479,32.36842060089111
valid,36,0.8079656785534274,-1391.9500284502583,-695.5710313858524,-0.014577507972717285,32.5704460144043
train,36,0.0,0.0,0.0,-0.07863187789916992,32.35903739929199
valid,37,0.8096873106495026,-1162.980214764995,-581.0852637271728,-0.051323652267456055,32.56023025512695
train,37,0.0,0.0,0.0,-0.12528586387634277,32.527992248535156
valid,38,0.8057955734191402,-967.5001705538842,-483.34718749023256,-0.07874202728271484,32.550018310546875
train,38,0.0,0.0,0.0,-0.13745328783988953,32.50002861022949
valid,39,0.8051545062372761,-827.3223576699534,-413.25860158185804,-0.110268235206604,32.5398063659668
train,39,0.0,0.0,0.0,-0.19581836462020874,32.33596420288086
valid,40,0.8088159580384532,-722.1188280659337,-360.6550060539476,-0.1482311487197876,32.52960205078125
train,40,0.0,0.0,0.0,-0.22497481107711792,32.36203956604004
valid,41,0.8126900349893877,-635.233781629993,-317.2105457975018,-0.1866847276687622,32.51940155029297
train,41,0.0,0.0,0.0,-0.2798430025577545,32.37704277038574
valid,42,0.8145629917421648,-555.2239116545646,-277.20467433141124,-0.22199022769927979,32.50920104980469
train,42,0.0,0.0,0.0,-0.3088703751564026,32.42090606689453
valid,43,0.8148986947151923,-472.7266957682948,-235.95589853678982,-0.2555272579193115,32.49900817871094
train,43,0.0,0.0,0.0,-0.3539375066757202,32.37846374511719
valid,44,0.8133235650677835,-391.8196977184665,-195.50318707669936,-0.286135196685791,32.48881912231445
train,44,0.0,0.0,0.0,-0.3955305218696594,32.37451171875
valid,45,0.8122598624998524,-328.3290245302262,-163.75838233386318,-0.31642115116119385,32.4786262512207
train,45,0.0,0.0,0.0,-0.41241952776908875,32.33353805541992
