mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-0.26271493458924977,-80430.17568063067,-40215.21919778263,2.224312514066696,31.85076355934143
train,0,0.0,0.0,0.0,21.297266473372776,32.29073643684387
valid,1,0.6973282901303813,-16036.380131052676,-8017.841401381273,0.42394687235355377,31.729031085968018
train,1,0.0,0.0,0.0,1.2926825359463692,32.26078462600708
valid,2,0.7526598036712931,-3799.4426112720225,-1899.3449757341757,-0.05223238468170166,31.607805728912354
train,2,0.0,0.0,0.0,0.19145137816667557,32.240131537119545
valid,3,0.7726102361519283,-633.7502974708498,-316.48884361734895,-0.4758697599172592,31.487112045288086
train,3,0.0,0.0,0.0,-0.27292581647634506,32.21188020706177
valid,4,0.7668862348380027,-94.478230231277,-46.85567199821949,-0.8061802908778191,31.36694073677063
train,4,0.0,0.0,0.0,-0.6613478288054466,32.192880074183144
valid,5,0.7439009577421186,-32.04088714364211,-15.648493092949995,-0.9056188985705376,31.247310161590576
train,5,0.0,0.0,0.0,-0.8912177011370659,32.14892586072286
valid,6,0.7453451916091187,-35.188016443759935,-17.221335626075412,-0.940090075135231,31.128195762634277
train,6,0.0,0.0,0.0,-0.9492766261100769,32.13664889335632
valid,7,0.7454639393585893,-30.138539648623794,-14.696537854632604,-0.9892944023013115,31.009591102600098
train,7,0.0,0.0,0.0,-1.0299598723649979,32.11134910583496
valid,8,0.7978710608102617,-21.37914907933539,-10.290639009262565,-1.0976858586072922,30.89148736000061
train,8,0.0,0.0,0.0,-1.09291610121727,32.089397033055626
valid,9,0.8055135101735111,-18.053014721290168,-8.623750605558328,-1.1716896146535873,30.773890733718872
train,9,0.0,0.0,0.0,-1.1795899371306102,32.071095863978066
valid,10,0.8260840406689265,-13.05895368799344,-6.116434823662257,-1.2666702419519424,30.656795740127563
train,10,0.0,0.0,0.0,-1.2796081354220707,32.03167462348938
valid,11,0.8467224692733941,-9.717989063861365,-4.435633297293985,-1.3669910430908203,30.540194749832153
train,11,0.0,0.0,0.0,-1.3906087279319763,32.016089042027794
valid,12,0.8281808855155999,-9.855118646332361,-4.5134688804083805,-1.4025101363658905,30.42408037185669
train,12,0.0,0.0,0.0,-1.4771223117907841,31.983342329661053
valid,13,0.870772021120096,-5.630432760246858,-2.379830369563381,-1.5381212681531906,30.30845022201538
train,13,0.0,0.0,0.0,-1.5779975801706314,31.971941312154133
valid,14,0.871055374799788,-5.1244253538169495,-2.126684989508581,-1.5969653874635696,30.193305253982544
train,14,0.0,0.0,0.0,-1.6578406989574432,31.941394011179607
valid,15,0.8842859217414158,-4.012805717408673,-1.5642598978336282,-1.6558595895767212,30.078636646270752
train,15,0.0,0.0,0.0,-1.7168012708425522,31.923462231953938
valid,16,0.887709052043032,-3.1218089700724567,-1.1170499590147125,-1.682743787765503,29.964441299438477
train,16,0.0,0.0,0.0,-1.7539102633794148,31.889225641886394
valid,17,0.8913940202224918,-3.092746025532881,-1.1006760026551947,-1.694493517279625,29.85071063041687
train,17,0.0,0.0,0.0,-1.7674728780984879,31.86296248435974
valid,18,0.890060093132317,-3.079279091681615,-1.094609499274649,-1.718595027923584,29.737447023391724
train,18,0.0,0.0,0.0,-1.7998337944348652,31.83333174387614
valid,19,0.8877685203251046,-3.2588374919842416,-1.1855344858295682,-1.7221161425113678,29.624647617340088
train,19,0.0,0.0,0.0,-1.8136499325434368,31.820792118708294
valid,20,0.8913692845354142,-2.896487076633633,-1.0025588960491094,-1.7327811270952225,29.512305736541748
train,20,0.0,0.0,0.0,-1.820286547144254,31.78663380940755
valid,21,0.8903951064578645,-3.2535351999236735,-1.1815700467329044,-1.7381329983472824,29.40041708946228
train,21,0.0,0.0,0.0,-1.8296915292739868,31.773160298665363
valid,22,0.8913693661678013,-2.2035364460020586,-0.6560835399171288,-1.71401347219944,29.28897714614868
train,22,0.0,0.0,0.0,-1.8446112026770909,31.737157185872395
valid,23,0.8863296136527136,-2.631482210806148,-0.8725762985767174,-1.7413060069084167,29.177985906600952
train,23,0.0,0.0,0.0,-1.8417091717322667,31.69518280029297
valid,24,0.8933208831913347,-2.435611873755841,-0.7711454952822533,-1.7423229664564133,29.067439079284668
train,24,0.0,0.0,0.0,-1.8585739235083263,31.6711851755778
valid,25,0.8881709958028584,-2.713219216812348,-0.9125241105047448,-1.7450643479824066,28.95733332633972
train,25,0.0,0.0,0.0,-1.8648434430360794,31.671467701594036
valid,26,0.8936542463206285,-2.700566402719381,-0.9034560781993763,-1.7485724985599518,28.84766459465027
train,26,0.0,0.0,0.0,-1.8684238841136296,31.637292861938477
valid,27,0.8910431587139875,-2.469557243007869,-0.7892570421469407,-1.7457769811153412,28.73842740058899
train,27,0.0,0.0,0.0,-1.8793940395116806,31.614787499109905
valid,28,0.8935054308613817,-2.7688861485710534,-0.9376903588548358,-1.7440222948789597,28.629621744155884
train,28,0.0,0.0,0.0,-1.884936511516571,31.585803270339966
valid,29,0.8939388806891925,-2.1944181649440075,-0.6502396421274075,-1.7415336519479752,28.52124547958374
train,29,0.0,0.0,0.0,-1.8894978513320286,31.550284385681152
valid,30,0.8821842337455454,-2.9132139653427536,-1.015514865798604,-1.7254435271024704,28.41329336166382
train,30,0.0,0.0,0.0,-1.8903863380352657,31.550421953201294
valid,31,0.8932326160277744,-2.220648094761926,-0.6637077393670759,-1.7374534755945206,28.30576252937317
train,31,0.0,0.0,0.0,-1.8869007130463917,31.520456234614056
valid,32,0.8862274528835241,-2.306409688708319,-0.7100911179123975,-1.745345950126648,28.198649168014526
train,32,0.0,0.0,0.0,-1.9007599453131359,31.496888240178425
valid,33,0.8974527310360536,-2.1282847502333437,-0.615416009598645,-1.7367802411317825,28.091949939727783
train,33,0.0,0.0,0.0,-1.9096998622020085,31.452841361363728
valid,34,0.890942284080984,-2.2303544269518154,-0.6697060714354156,-1.7477410435676575,27.985665559768677
train,34,0.0,0.0,0.0,-1.9135221441586812,31.416428565979004
valid,35,0.8964451610650144,-1.9050685252924981,-0.5043116821137419,-1.7359398901462555,27.87979221343994
train,35,0.0,0.0,0.0,-1.9156854003667831,31.39797830581665
valid,36,0.892014036285399,-1.6916620780313987,-0.3998240208729998,-1.7077187597751617,27.774324417114258
train,36,0.0,0.0,0.0,-1.9179721226294835,31.375004450480144
valid,37,0.8920875374448367,-2.0128600491870468,-0.560386255871105,-1.7336336225271225,27.66926074028015
train,37,0.0,0.0,0.0,-1.919740617275238,31.35575071970622
valid,38,0.8895260105723336,-1.9437545297736487,-0.5271142596006575,-1.7343104183673859,27.564598321914673
train,38,0.0,0.0,0.0,-1.9305740594863892,31.323869864145916
valid,39,0.8895769756144141,-2.220745110922932,-0.665584067654259,-1.7392010390758514,27.460333585739136
train,39,0.0,0.0,0.0,-1.9326605945825577,31.292128483454388
valid,40,0.8935270425581655,-2.111690579778651,-0.609081768610243,-1.7413443624973297,27.35646653175354
train,40,0.0,0.0,0.0,-1.937266652782758,31.28897746404012
valid,41,0.8766407809059775,-3.288653425070847,-1.2060063220824349,-1.7072741091251373,27.2529935836792
train,41,0.0,0.0,0.0,-1.9003515094518661,31.257459322611492
valid,42,0.8761180404687001,-2.7172789049471406,-0.9205804322392201,-1.7248551845550537,27.149911165237427
train,42,0.0,0.0,0.0,-1.8995646586020787,31.248340288798016
valid,43,0.896391665668852,-1.9995829828255631,-0.5515956585783557,-1.7398104667663574,27.04721760749817
train,43,0.0,0.0,0.0,-1.9434165457884471,31.184354464213055
valid,44,0.888490548645714,-1.932467693369962,-0.521988572362124,-1.7298015803098679,26.944908380508423
train,44,0.0,0.0,0.0,-1.9500676939884822,31.178021272023518
valid,45,0.8931645593614512,-1.7411471081492285,-0.4239912743938886,-1.7251559346914291,26.842982053756714
train,45,0.0,0.0,0.0,-1.953154057264328,31.15589173634847
valid,46,0.888226304877282,-1.8649682275461243,-0.4883709613344211,-1.7358345836400986,26.741438150405884
train,46,0.0,0.0,0.0,-1.9517511874437332,31.15043568611145
valid,47,0.8802007104532401,-2.1345463529439903,-0.6271728212453751,-1.7168379127979279,26.640273809432983
train,47,0.0,0.0,0.0,-1.9558366239070892,31.108757575352985
valid,48,0.8927549076018173,-1.708113998276267,-0.4076795453372247,-1.7227825224399567,26.539485931396484
train,48,0.0,0.0,0.0,-1.931166633963585,31.09230891863505
valid,49,0.892609378119125,-1.857019799497937,-0.4822052106894059,-1.7291357964277267,26.43907117843628
train,49,0.0,0.0,0.0,-1.960424502690633,31.053168296813965
valid,50,0.8868823863402548,-1.6829129535894978,-0.39801528362462135,-1.729887455701828,26.339027881622314
train,50,0.0,0.0,0.0,-1.9656969209512074,31.024951299031574
valid,51,0.888754600179385,-1.9068819288055037,-0.5090636643130593,-1.7200165390968323,26.23935317993164
train,51,0.0,0.0,0.0,-1.9726794759432476,31.00519601504008
valid,52,0.8866749047458529,-1.7204783527691276,-0.41690172401163744,-1.7279050946235657,26.140045642852783
train,52,0.0,0.0,0.0,-1.9773904879887898,30.975981950759888
valid,53,0.8879864592809872,-1.5428543918418196,-0.3274339662804162,-1.6969406306743622,26.04110360145569
train,53,0.0,0.0,0.0,-1.9808984299500783,30.940256118774414
valid,54,0.893066851966438,-1.4422016956250119,-0.27456742182928695,-1.70684215426445,25.942524671554565
train,54,0.0,0.0,0.0,-1.9873388906319935,30.939176718393963
valid,55,0.8849740586743453,-1.7023808930444744,-0.40870341718506453,-1.7169116288423538,25.84430718421936
train,55,0.0,0.0,0.0,-1.9908886005481083,30.89564847946167
valid,56,0.8924460860693069,-1.384543519190962,-0.24604871656082763,-1.6829671114683151,25.74644660949707
train,56,0.0,0.0,0.0,-1.9935880253712337,30.87355120976766
valid,57,0.8937268757706313,-1.419597217725914,-0.2629351709776413,-1.706927329301834,25.648942232131958
train,57,0.0,0.0,0.0,-1.9957193384567897,30.879804134368896
valid,58,0.8813010185500953,-1.4590118943898018,-0.28885543791985335,-1.7073515504598618,25.551793098449707
train,58,0.0,0.0,0.0,-2.007056971391042,30.82874123255412
valid,59,0.8791895051393231,-1.159997049342373,-0.14040377210152488,-1.6332134306430817,25.45499348640442
train,59,0.0,0.0,0.0,-2.0151741256316504,30.8243461449941
valid,60,0.8777848605363301,-1.703308311950726,-0.41276172570719794,-1.6871261447668076,25.358545541763306
train,60,0.0,0.0,0.0,-2.0115441381931305,30.78691577911377
valid,61,0.8860837525590194,-1.172824763798848,-0.1433705056199144,-1.6720422357320786,25.26244592666626
train,61,0.0,0.0,0.0,-2.0227971424659095,30.758479515711468
valid,62,0.8889895677960076,-1.3242430516361994,-0.21762674192009596,-1.6823282688856125,25.166693449020386
train,62,0.0,0.0,0.0,-2.0420926213264465,30.731584866841633
valid,63,0.8908288062231708,-1.26584872966696,-0.1875099617218946,-1.6863108277320862,25.071284770965576
train,63,0.0,0.0,0.0,-2.0427845617135367,30.714756568272907
valid,64,0.8912377930369033,-1.1745657532063198,-0.1416639800847082,-1.6664318591356277,24.9762179851532
train,64,0.0,0.0,0.0,-2.0532734096050262,30.672979831695557
valid,65,0.8901551744918765,-1.1891577168458285,-0.14950127117697593,-1.651519775390625,24.881491661071777
train,65,0.0,0.0,0.0,-2.0588151961565018,30.637171347935993
valid,66,0.8919557528076585,-1.1833795320470901,-0.14571188961971585,-1.670716479420662,24.787102937698364
train,66,0.0,0.0,0.0,-2.0663511753082275,30.6226323445638
valid,67,0.8832876699822887,-1.0506604041613308,-0.08368636708952108,-1.6540389508008957,24.693050622940063
train,67,0.0,0.0,0.0,-2.077002545197805,30.63348952929179
valid,68,0.8928623101668579,-1.1384937280426113,-0.12281570893787672,-1.663941964507103,24.59933352470398
train,68,0.0,0.0,0.0,-2.074246118466059,30.590782245000202
valid,69,0.8868988040120742,-1.2066082953844108,-0.1598547456861682,-1.6500196605920792,24.505950212478638
train,69,0.0,0.0,0.0,-2.074232429265976,30.551186482111614
valid,70,0.887771057620411,-0.976962595690704,-0.04459576903514655,-1.620226427912712,24.41289782524109
train,70,0.0,0.0,0.0,-2.0644037822882333,30.549949487050373
valid,71,0.8767317058281525,-1.3950019046966387,-0.25913509943424295,-1.65145243704319,24.32017493247986
train,71,0.0,0.0,0.0,-2.073675493399302,30.51925532023112
valid,72,0.8889767678886626,-0.9705492249520162,-0.04078622853167672,-1.6408191919326782,24.227779150009155
train,72,0.0,0.0,0.0,-2.084511488676071,30.48720669746399
valid,73,0.8804808608462021,-0.9580119190003631,-0.03876552907708044,-1.6399919390678406,24.13571000099182
train,73,0.0,0.0,0.0,-2.092488706111908,30.450417200724285
valid,74,0.8911410395679431,-0.9592202382633546,-0.03403959934770564,-1.631511241197586,24.043964385986328
train,74,0.0,0.0,0.0,-2.0997886657714844,30.46211051940918
valid,75,0.8880099133217438,-1.0044502243545252,-0.05822015551639069,-1.6401279121637344,23.95254111289978
train,75,0.0,0.0,0.0,-2.106515367825826,30.407612085342407
valid,76,0.8870371612656857,-0.9408141657715758,-0.026888502252945132,-1.647046372294426,23.861438751220703
train,76,0.0,0.0,0.0,-2.105393707752228,30.382519880930584
valid,77,0.8790456594097862,-1.238710686332682,-0.17983251346144782,-1.6494655460119247,23.770655632019043
train,77,0.0,0.0,0.0,-2.1057364443937936,30.378503799438477
valid,78,0.8828443788526784,-0.8566526863026827,0.013095846274997908,-1.6305767446756363,23.680190086364746
train,78,0.0,0.0,0.0,-2.112307926019033,30.33181071281433
valid,79,0.8829034649663234,-1.0357672163516114,-0.07643187569264395,-1.6310157179832458,23.590041160583496
train,79,0.0,0.0,0.0,-2.113014171520869,30.320521752039593
valid,80,0.8883607045612698,-0.9815161668034681,-0.046577731121099114,-1.6484289467334747,23.50020694732666
train,80,0.0,0.0,0.0,-2.097193032503128,30.299137751261394
valid,81,0.8885063994468902,-0.9762863647935366,-0.043889982673323225,-1.6148207187652588,23.410685300827026
train,81,0.0,0.0,0.0,-2.1158087948958078,30.266108512878418
valid,82,0.8876137005137409,-0.9193803744269673,-0.01588333695661319,-1.6354813277721405,23.321473598480225
train,82,0.0,0.0,0.0,-2.1238079170385995,30.234443108240765
