mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-0.34871558130892827,-42893.218782195516,-21446.78374888841,2.2288190637316023,32.01537105015346
train,0,0.0,0.0,0.0,21.775998965553615,32.277426097704016
valid,1,0.5021454277025789,-10327.673941839681,-5163.585898205989,0.7238331437110901,31.8982424054827
train,1,0.0,0.0,0.0,1.52654578893081,32.28911416426949
valid,2,0.6420631673093266,-2300.282907544684,-1149.8204221886872,0.1939397198813302,31.781579971313477
train,2,0.0,0.0,0.0,0.41956993289615796,32.22034960207732
valid,3,0.6585613357719884,-426.25999366088473,-212.80071616255637,-0.19211338247571672,31.665406363351003
train,3,0.0,0.0,0.0,-0.02104107970776765,32.220599879389226
valid,4,0.6384441431480677,-74.27947940848722,-36.82051763266958,-0.5000721045902797,31.549710409981863
train,4,0.0,0.0,0.0,-0.3891284828600676,32.174416251804516
valid,5,0.6228305992233373,-22.673467999500172,-11.025318700138419,-0.6121906382696969,31.434511184692383
train,5,0.0,0.0,0.0,-0.6066011967866317,32.13629357711129
valid,6,0.6407002357270167,-21.209434907638002,-10.28436733595549,-0.6621672851698739,31.31979124886649
train,6,0.0,0.0,0.0,-0.6825854985610299,32.130754802538
valid,7,0.6563086366174372,-20.030921468056647,-9.687306415719604,-0.7129504340035575,31.205542428152903
train,7,0.0,0.0,0.0,-0.7440908551216125,32.10757255554199
valid,8,0.6637834756737268,-16.77233781165303,-8.054277167989651,-0.77136949130467,31.09175409589495
train,8,0.0,0.0,0.0,-0.7918689328691234,32.0777645111084
valid,9,0.6884619932997359,-13.212874994583393,-6.26220650064183,-0.8337163243974958,30.978429521833146
train,9,0.0,0.0,0.0,-0.8714578384938447,32.020593145619266
valid,10,0.679445975901154,-11.913931723339525,-5.617242873719185,-0.8942514061927795,30.865571430751256
train,10,0.0,0.0,0.0,-0.9459484323211338,32.03760205144467
valid,11,0.6643177996884368,-11.22107306767471,-5.278377633993138,-0.9366577097347805,30.753169468470983
train,11,0.0,0.0,0.0,-1.031125597331835,32.02584432519001
valid,12,0.718225276291918,-7.759731028936879,-3.5207528763224807,-1.0465740135737829,30.641218185424805
train,12,0.0,0.0,0.0,-1.1077356053435283,31.980620011039402
valid,13,0.7149214012086871,-6.9459116358120445,-3.115495117301678,-1.1064564670835222,30.52971158708845
train,13,0.0,0.0,0.0,-1.1947937115379001,31.961124586022418
valid,14,0.752433371738914,-4.987263023201436,-2.1174148257312604,-1.1769779069083077,30.41865130833217
train,14,0.0,0.0,0.0,-1.2520090030587239,31.96692997476329
valid,15,0.7501046968931809,-4.388787807624925,-1.8193415553658723,-1.2297988278525216,30.30803462437221
train,15,0.0,0.0,0.0,-1.3200935332671455,31.93717268238897
valid,16,0.750203910809061,-4.193791357897711,-1.7217937235443246,-1.2642123017992293,30.19785554068429
train,16,0.0,0.0,0.0,-1.3616145382756772,31.926582004712976
valid,17,0.7579441137567463,-3.9215070111293335,-1.581781448686294,-1.2931857790265764,30.088108607700892
train,17,0.0,0.0,0.0,-1.396057559096295,31.87077281786048
valid,18,0.7683591251086603,-3.5429159604807703,-1.3872784176860549,-1.3047332423073905,29.978789738246373
train,18,0.0,0.0,0.0,-1.4047888310059258,31.848217010498047
