mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,0.30306448479729364,-11163.462724072397,-5581.5798297938,1.2076038213876576,31.720343809861404
train,0,0.0,0.0,0.0,13.614672294477137,32.24772792909204
valid,1,0.6198745191431626,-697.4297646479937,-348.40494506442525,0.15705433258643517,31.51331593440129
train,1,0.0,0.0,0.0,0.5904976260371324,32.236792401569645
valid,2,0.5967660457342661,-38.879029516801545,-19.14113173553364,-0.3163371911415687,31.307824941781853
train,2,0.0,0.0,0.0,-0.10786151013723234,32.21186889090189
valid,3,0.5831477537795433,-23.487758085525925,-11.452305165873188,-0.3874026628640982,31.103883890005257
train,3,0.0,0.0,0.0,-0.37050416411423104,32.17172715722061
valid,4,0.5930019217081726,-22.04358077002174,-10.725289424156786,-0.4495775791314932,30.901431450477013
train,4,0.0,0.0,0.0,-0.44405222520595644,32.136318485911296
valid,5,0.6300905364338306,-15.554266101910608,-7.462087782738388,-0.5696282707727872,30.700450897216797
train,5,0.0,0.0,0.0,-0.5356060150193005,32.1035127872374
valid,6,0.6600311824346393,-12.595093298427104,-5.967531057996234,-0.6816943883895874,30.500929465660683
train,6,0.0,0.0,0.0,-0.6412751180369679,32.07524001889112
valid,7,0.6769491913327127,-9.594511177978289,-4.458780993322788,-0.8144036118800824,30.302830035869892
train,7,0.0,0.0,0.0,-0.7683582523973976,32.03925183924233
valid,8,0.7073668829082801,-5.799677335672396,-2.546155226382058,-0.9232398317410395,30.10614439157339
train,8,0.0,0.0,0.0,-0.8929199038482294,32.01775518277796
valid,9,0.7117057860470923,-6.145721571543788,-2.7170078927483483,-0.9978730495159442,29.910846856924202
train,9,0.0,0.0,0.0,-0.9800283894306276,31.966014164250073
valid,10,0.699226008774732,-6.204850970244108,-2.7528124807346877,-1.0046253571143517,29.71691292982835
train,10,0.0,0.0,0.0,-1.0264433884039157,31.952243991014434
valid,11,0.7183844962314634,-5.669181698084726,-2.4753986009266313,-1.0418347670481756,29.524333073542667
train,11,0.0,0.0,0.0,-1.0450313687324524,31.883327065444576
valid,12,0.7156619896837549,-5.722951202778684,-2.5036446065474647,-1.0453731830303485,29.333084106445312
train,12,0.0,0.0,0.0,-1.0644329902602405,31.864867559293423
valid,13,0.7253936727268459,-4.8872256175319855,-2.0809159724025696,-1.059244651060838,29.143145634577824
train,13,0.0,0.0,0.0,-1.0748839610960426,31.82129818055688
valid,14,0.7242643627442681,-4.920753664605663,-2.098244650930697,-1.0604045666181123,28.95450812119704
train,14,0.0,0.0,0.0,-1.084034966259468,31.82311072000643
valid,15,0.7067957804458662,-5.233878455437958,-2.2635413374960462,-1.0425757123873785,28.767148971557617
train,15,0.0,0.0,0.0,-1.0886122831484166,31.748627546356946
valid,16,0.7276482098962439,-4.796407877938148,-2.0343798340209527,-1.0630750197630663,28.58105101952186
train,16,0.0,0.0,0.0,-1.0878258143983237,31.71455169305569
valid,17,0.7239429185700933,-4.720939692542113,-1.99849838698601,-1.0663427343735328,28.39620458162748
train,17,0.0,0.0,0.0,-1.1056272809098406,31.69734177938322
valid,18,0.7256438061954886,-4.8697621103864215,-2.0720591520954663,-1.0667926210623522,28.212591024545524
train,18,0.0,0.0,0.0,-1.1001106646002792,31.652284389588893
valid,19,0.7265818750110706,-4.341197259552774,-1.8073076922708518,-1.069236626991859,28.030192595261795
train,19,0.0,0.0,0.0,-1.1132853816195232,31.634027108913514
valid,20,0.7278522167596502,-4.008938152137795,-1.6405429676890728,-1.040382642012376,27.84900034390963
train,20,0.0,0.0,0.0,-1.1181294569155065,31.575518026584533
valid,21,0.7220884626571823,-4.694681054986587,-1.9862962961647024,-1.0707157483467689,27.668997544508713
train,21,0.0,0.0,0.0,-1.1203561875878312,31.554305285942263
valid,22,0.7265047536287198,-3.940026082204145,-1.6067606642877135,-1.0582115191679735,27.49016908498911
train,22,0.0,0.0,0.0,-1.1328273488254081,31.523778915405273
valid,23,0.7248606970951482,-4.492760450684871,-1.8839498767948617,-1.068979955636538,27.312503521259014
train,23,0.0,0.0,0.0,-1.1395499822570057,31.497297891756382
valid,24,0.7260877456381608,-3.9617102374077535,-1.6178112458847964,-1.0665254363646874,27.13598808875451
train,24,0.0,0.0,0.0,-1.1457245960468199,31.450345946521296
valid,25,0.7192655666231957,-4.397014343221641,-1.8388743882992225,-1.0656481385231018,26.960609142596905
train,25,0.0,0.0,0.0,-1.1520383445228017,31.414215180932022
valid,26,0.7274435953941355,-4.029191498525441,-1.6508739515656528,-1.0670048823723426,26.786352157592773
train,26,0.0,0.0,0.0,-1.1565090127107573,31.397955359482182
valid,27,0.6975049953561269,-4.889612254526558,-2.0960536295852155,-1.03576836677698,26.613208917471077
train,27,0.0,0.0,0.0,-1.1642247060450113,31.346444990576767
valid,28,0.7297469987837192,-4.375635877085679,-1.8229444391509797,-1.0621720965091999,26.441165924072266
train,28,0.0,0.0,0.0,-1.167537898552127,31.31360375008932
valid,29,0.7266681472518589,-4.031985093054245,-1.6526584729011928,-1.0593879452118506,26.270211146428036
train,29,0.0,0.0,0.0,-1.1774755541871234,31.289315386516293
valid,30,0.725198492969896,-4.401865717907389,-1.8383336124687468,-1.0525692655489995,26.10033108637883
train,30,0.0,0.0,0.0,-1.1824671175421737,31.245861379111684
valid,31,0.7290179701521665,-3.446690675813343,-1.3588363528305885,-1.0192568531403174,25.931519288283127
train,31,0.0,0.0,0.0,-1.1542849657012195,31.203101041840345
valid,32,0.7302846878234123,-3.8544430765355147,-1.5620791943560515,-1.0449376289661114,25.763762987577
train,32,0.0,0.0,0.0,-1.196551477036825,31.18348638022818
valid,33,0.7266111362937647,-4.009749283790228,-1.6415690737482316,-1.042170157799354,25.59705030001127
train,33,0.0,0.0,0.0,-1.2098395155697335,31.152449863712963
valid,34,0.7151696407088644,-4.288655819381166,-1.7867430893361511,-1.035958400139442,25.431369928213265
train,34,0.0,0.0,0.0,-1.215058230772251,31.105036479670826
valid,35,0.7271102467469288,-3.363545052996478,-1.3182174031247744,-1.0294113296728868,25.266713949350212
train,35,0.0,0.0,0.0,-1.225047832582055,31.073406777730803
valid,36,0.7272013825982179,-3.0867189105520705,-1.179758763976926,-0.9972039140187777,25.103072826678936
train,36,0.0,0.0,0.0,-1.2516755069174417,31.03689500762195
