mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-12.118667172630108,-129311.08870020082,-64661.60368368672,20.161784172058105,32.379159927368164
train,0,0.0,0.0,0.0,35.53292385737101,32.450621128082275
valid,1,-0.3173591855794281,-59121.08349891243,-29560.700429049,2.336644768714905,32.31761646270752
train,1,0.0,0.0,0.0,9.013693650563559,32.43880844116211
valid,2,0.06806706902679216,-21725.146789325256,-10862.539361128114,1.6293029189109802,32.25621032714844
train,2,0.0,0.0,0.0,1.9353567957878113,32.41695022583008
valid,3,0.6285766625953852,-11646.479760380813,-5822.925591859109,0.5210104286670685,32.19492959976196
train,3,0.0,0.0,0.0,0.9532094945510229,32.4151873588562
valid,4,0.6238712099388718,-6060.49584651295,-3029.9359876515055,0.32942743599414825,32.13377237319946
train,4,0.0,0.0,0.0,0.4166748027006785,32.41144196192423
valid,5,0.6966572144654309,-2469.8278238309895,-1234.565583308262,0.029385119676589966,32.07275104522705
train,5,0.0,0.0,0.0,0.14454175531864166,32.37296533584595
valid,6,0.7063490270450797,-1002.4573736154596,-500.8755122942073,-0.177913099527359,32.01186227798462
train,6,0.0,0.0,0.0,-0.08779598772525787,32.365722020467125
valid,7,0.7088514401311534,-385.089214718819,-192.19018163934393,-0.3692483901977539,31.951104164123535
train,7,0.0,0.0,0.0,-0.29375045001506805,32.324084758758545
valid,8,0.7089729444686197,-153.19909851305135,-76.24506278429138,-0.5448845028877258,31.890472412109375
train,8,0.0,0.0,0.0,-0.48452433447043103,32.31624984741211
valid,9,0.7025574866715714,-61.76833271309613,-30.53288761321228,-0.665244847536087,31.82997751235962
train,9,0.0,0.0,0.0,-0.6493471910556158,32.30133883158366
valid,10,0.6635215744960643,-34.8355109345683,-17.085994680036116,-0.7002914994955063,31.769620418548584
train,10,0.0,0.0,0.0,-0.7552391390005747,32.291038513183594
valid,11,0.7042242402919126,-22.020638663720657,-10.658207211714371,-0.7474702894687653,31.709394454956055
train,11,0.0,0.0,0.0,-0.7914776901404063,32.25550397237142
valid,12,0.6793989607280586,-24.16146816724317,-11.741034603257555,-0.7671481519937515,31.64929723739624
train,12,0.0,0.0,0.0,-0.8416709750890732,32.259238402048744
valid,13,0.6937703919664029,-24.193952379949188,-11.750090993991392,-0.8008983880281448,31.589328289031982
train,13,0.0,0.0,0.0,-0.8688485821088155,32.22838258743286
valid,14,0.68610046943339,-23.05886158611808,-11.186380558342345,-0.8258620053529739,31.529484748840332
train,14,0.0,0.0,0.0,-0.9197488377491633,32.21955585479736
