mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,0.23862794124656153,-14721.875287312067,-7360.818329685409,1.2182058095932007,31.64829397201538
train,0,0.0,0.0,0.0,14.755549016751742,32.21802997589111
valid,1,0.6109522431339299,-1436.9122245524231,-718.1506361546445,0.09287531177202861,31.45653835932414
train,1,0.0,0.0,0.0,0.5263116422452425,32.183269450539036
valid,2,0.6110397533429893,-88.99275908753276,-44.190859667094884,-0.45334895451863605,31.266101996103924
train,2,0.0,0.0,0.0,-0.2038846078671907,32.16473865509033
valid,3,0.6043948882745407,-23.1855240309492,-11.29056457133733,-0.6106081555287043,31.077001253763836
train,3,0.0,0.0,0.0,-0.566777063043494,32.146204245717904
valid,4,0.6111510759446382,-22.911235888639993,-11.150042406347678,-0.6788114557663599,30.889193693796795
train,4,0.0,0.0,0.0,-0.6582957568921541,32.082987584565814
valid,5,0.6288186640885386,-18.704974636941795,-9.038077986426627,-0.7744208872318268,30.702648957570393
train,5,0.0,0.0,0.0,-0.762117243126819,32.0948298102931
valid,6,0.6865560726291836,-11.76566784647944,-5.539555886925129,-0.9368642965952555,30.517369429270428
train,6,0.0,0.0,0.0,-0.8836512565612793,32.03391948499178
valid,7,0.721382684144018,-8.26168995107525,-3.7701536334656147,-1.0952905863523483,30.333327452341717
train,7,0.0,0.0,0.0,-1.033221811056137,31.998211007369193
valid,8,0.7365166836186217,-6.645431043808973,-2.9544571800951753,-1.2174610594908397,30.150500774383545
train,8,0.0,0.0,0.0,-1.1704467221310264,31.979068505136592
valid,9,0.7566297182885227,-4.423649566516718,-1.8335099241140977,-1.3031107087930043,29.968883991241455
train,9,0.0,0.0,0.0,-1.2717228908287852,31.951024557414808
valid,10,0.7680663589786952,-3.8850286684845017,-1.5584811547529034,-1.3353135287761688,29.788454055786133
train,10,0.0,0.0,0.0,-1.3264146886373822,31.89628199527138
valid,11,0.7652114666087768,-3.330907290709496,-1.2828479120503598,-1.3471242189407349,29.609193483988445
train,11,0.0,0.0,0.0,-1.360728216798682,31.885007557116058
valid,12,0.7612965371747507,-3.8218414611858336,-1.5302724620055415,-1.3589373628298442,29.431095282236736
train,12,0.0,0.0,0.0,-1.3767712429950112,31.861218050906533
valid,13,0.7697369960472041,-3.013644034833499,-1.1219535193931474,-1.3679325381914775,29.254138946533203
train,13,0.0,0.0,0.0,-1.3849186018893593,31.81678947649504
valid,14,0.7667792173260602,-3.195656168856526,-1.214438475765233,-1.3750309646129608,29.078309377034504
train,14,0.0,0.0,0.0,-1.397269976766486,31.779406647933158
valid,15,0.7704043794666364,-2.8950088395556945,-1.0623022300445288,-1.3701580067475636,28.903597990671795
train,15,0.0,0.0,0.0,-1.405870563105533,31.74469526190507
valid,16,0.7698462062952699,-2.901965787313887,-1.0660597905093085,-1.3666854004065196,28.729989369710285
train,16,0.0,0.0,0.0,-1.4118989235476445,31.710692907634535
valid,17,0.7569384861601242,-3.521638913460945,-1.3823502136504102,-1.358604868253072,28.557468096415203
train,17,0.0,0.0,0.0,-1.4125003720584668,31.690939903259277
valid,18,0.754817062577243,-3.8111426125281103,-1.5281627749754334,-1.3504721721013386,28.38602415720622
train,18,0.0,0.0,0.0,-1.4207530554972196,31.663455862747995
valid,19,0.7652543680380912,-2.622606299891476,-0.9286759659266921,-1.348056972026825,28.215645631154377
train,19,0.0,0.0,0.0,-1.4225197497167086,31.589738645051654
valid,20,0.7735549843449269,-2.9761754223163783,-1.1013102189857256,-1.3796090980370839,28.046318372090656
train,20,0.0,0.0,0.0,-1.4255197926571495,31.574694031163265
valid,21,0.7669258696242104,-3.396688584809251,-1.31488135759252,-1.372432182232539,27.878031571706135
train,21,0.0,0.0,0.0,-1.4369048287993984,31.568704153362074
valid,22,0.7640077514533411,-2.620245029344751,-0.9281186389457048,-1.3798877894878387,27.71077521642049
train,22,0.0,0.0,0.0,-1.4471424127879895,31.503690267864027
valid,23,0.7697884798008983,-3.1691222839664177,-1.19966690208276,-1.3860321740309398,27.54453754425049
train,23,0.0,0.0,0.0,-1.4518577142765647,31.513322428653115
valid,24,0.7703330860654432,-3.0651922420118187,-1.1474295779731878,-1.3849609990914662,27.379304885864258
train,24,0.0,0.0,0.0,-1.4528568104693764,31.428713647942793
valid,25,0.7686222872933236,-2.841821041746833,-1.0365993772267548,-1.38475102186203,27.21506977081299
train,25,0.0,0.0,0.0,-1.4563723488857871,31.411422277751722
valid,26,0.7633522904565354,-3.2749266229878375,-1.255787166265651,-1.3789464036623638,27.051822980244953
train,26,0.0,0.0,0.0,-1.459000854115737,31.384371155186702
valid,27,0.7740933916491467,-2.9292002789728784,-1.0775534436618657,-1.3842809398969014,26.889551003774006
train,27,0.0,0.0,0.0,-1.4604241251945496,31.361649061504163
valid,28,0.77260154673389,-2.9601676258605436,-1.093783039563327,-1.3747749328613281,26.728243350982666
