mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-25.949924351350223,-67685.61856479837,-33855.78424457486,34.114115397135414,31.900461832682293
train,0,0.0,0.0,0.0,41.75247319539388,32.56583616468642
valid,1,-7.347784218553341,-33493.69037974964,-16750.519081984097,10.992096265157064,31.854785283406574
train,1,0.0,0.0,0.0,19.526254653930664,32.710434171888565
valid,2,-0.8103887130365228,-24569.23040131848,-12285.02039501576,2.7522358099619546,31.809175491333008
train,2,0.0,0.0,0.0,5.007560226652357,32.55752097235786
valid,3,-0.26618424396999557,-10136.602456826875,-5068.434320535423,1.8325320879618328,31.763651529947918
train,3,0.0,0.0,0.0,1.921946989165412,32.620389726426865
valid,4,0.34387761605433137,-7397.239346891461,-3698.447734637704,0.9917347431182861,31.71819241841634
train,4,0.0,0.0,0.0,1.240389691458808,32.497045305040146
valid,5,0.5123465450160732,-3328.0319593660756,-1663.7598064105302,0.5713478326797485,31.672801971435547
train,5,0.0,0.0,0.0,0.6914800670411851,32.43703418307834
valid,6,0.5960317802022804,-2096.0571679548784,-1047.730568087338,0.3530147671699524,31.62748654683431
train,6,0.0,0.0,0.0,0.41165846586227417,32.545843760172524
valid,7,0.6143122813241049,-1098.1531417687734,-548.7694147437246,0.1773215134938558,31.58224614461263
train,7,0.0,0.0,0.0,0.22624406549665663,32.52281591627333
valid,8,0.6182318206613111,-567.2644184449706,-283.3230933121547,0.024175564448038738,31.537079493204754
train,8,0.0,0.0,0.0,0.04840110407935248,32.48716566297743
valid,9,0.6223868283922925,-317.9900498608146,-158.68383151621114,-0.10619231065114339,31.491987864176433
train,9,0.0,0.0,0.0,-0.07222974300384521,32.47087499830458
valid,10,0.6254871102633199,-154.5241414049057,-76.94932714732118,-0.24689964453379312,31.44696871439616
train,10,0.0,0.0,0.0,-0.2376908991071913,32.37667719523112
valid,11,0.6308819472902653,-71.90860766289812,-35.63886285780393,-0.36349864800771076,31.402021408081055
train,11,0.0,0.0,0.0,-0.33089713255564374,32.313205295138886
valid,12,0.6311910283685935,-39.44534723845997,-19.407078105045688,-0.44450537363688153,31.35715166727702
train,12,0.0,0.0,0.0,-0.49517468611399335,32.12306446499295
valid,13,0.6108140531551055,-25.03641377588113,-12.212799861363015,-0.46981223424275714,31.312358856201172
train,13,0.0,0.0,0.0,-0.5502241717444526,32.49382972717285
valid,14,0.6120570796758237,-16.909701841595496,-8.148822380959837,-0.4992892344792684,31.267640431722004
train,14,0.0,0.0,0.0,-0.5871213807000054,32.23541238572862
valid,15,0.6068132962918643,-14.829997140492756,-7.111591922100445,-0.5063760677973429,31.222997665405273
train,15,0.0,0.0,0.0,-0.6233981053034464,32.44642088148329
valid,16,0.6345469805778879,-13.041492818721167,-6.203472919071639,-0.544376015663147,31.1784241994222
train,16,0.0,0.0,0.0,-0.6820491287443373,32.22184477912055
valid,17,0.6440366398881783,-12.342750044626117,-5.849356702368969,-0.5604849259058634,31.133925755818684
train,17,0.0,0.0,0.0,-0.7022867798805237,32.33792919582791
valid,18,0.6096886449803908,-14.566286278764407,-6.978298816892007,-0.5463553667068481,31.089497884114582
train,18,0.0,0.0,0.0,-0.7029679218928019,32.314348220825195
valid,19,0.6163951881869574,-14.08858623905766,-6.73609552543535,-0.5667256116867065,31.045140584309895
train,19,0.0,0.0,0.0,-0.7145994901657104,32.30906211005317
valid,20,0.6493447770185844,-11.359949510190825,-5.35530236658612,-0.6129276355107626,31.000855763753254
train,20,0.0,0.0,0.0,-0.755376312467787,32.24699846903483
valid,21,0.6555527847184979,-10.276646106182175,-4.810546660731839,-0.6275646289189657,30.956642150878906
train,21,0.0,0.0,0.0,-0.793998552693261,32.23159599304199
valid,22,0.6220815536123935,-11.658423955505242,-5.518171200946424,-0.6147226492563883,30.912494659423828
train,22,0.0,0.0,0.0,-0.8433919350306193,32.46256446838379
valid,23,0.6256212251693613,-10.667099905179606,-5.020739340005123,-0.6379880507787069,30.86842155456543
