epoch,r2_top20_dev,r2_top40_dev,r2_top80_dev,r2_top20_test,r2_top40_test,r2_top80_test,allgenes_r2_dev,allgenes_r2_test,allgenes_pearson_dev,allgenes_pearson_test
0,0.5925191523472559,0.5373792345694889,0.48491710161984675,0.5859568419913606,0.5264148597654222,0.4837696354442348,-23.014343376376367,-23.358574030182584,0.30186313042398716,0.29441781352419194
1,0.6002047570362101,0.547479368025486,0.4959148761896848,0.5955231160791609,0.5363018668457005,0.4944606860710185,-7.091364992159869,-7.218125321881464,0.30912159206822726,0.3019643278439702
2,0.6067944428774907,0.5553748865212654,0.5044504857475256,0.6031499927805962,0.5449183271327824,0.5033934794149967,-3.803323562161116,-3.6552861392799634,0.31532547692854396,0.30837556180415665
3,0.6151217697880238,0.5647873674062279,0.5145953753138357,0.6120807894419349,0.5547285196053716,0.5135529988557734,-3.1299598179308648,-3.081859423442145,0.32281959197797083,0.31609077099472027
4,0.6226768771728152,0.57364814916422,0.5244927852052611,0.6199490683011257,0.5639856559799652,0.5235940662502742,-2.603277039996401,-2.499914957648442,0.33073403438535764,0.3241965841556145
5,0.6294976752526477,0.5822051648284297,0.5340815300137697,0.6280111260533545,0.5733119416860667,0.5335562051807351,-2.234120126977098,-2.190920253133712,0.3391266538273678,0.3327582718221059
6,0.6369000146573006,0.591240113867551,0.5445404801835095,0.636097967225284,0.5828143261954608,0.5442401922350346,-1.9756002507242714,-1.9363632979281824,0.34881855960465075,0.34268170508484413
7,0.6438220685178078,0.599830877826374,0.5547973670517963,0.6438730847997896,0.5921363422307783,0.5548813429504855,-1.642982708679161,-1.602642678631643,0.3592312125042082,0.35336735548450277
8,0.6509258002608693,0.6087402304280396,0.5656030058224221,0.6515246625358804,0.6015296555687307,0.5658541680035686,-1.365954374595025,-1.3336265561484493,0.3706848233075307,0.3651164639891329
9,0.6583676642319531,0.6180413293719427,0.5767589945213747,0.6596397653665756,0.6114427390367005,0.5774170453091754,-1.1516045435948978,-1.1240928144898108,0.3828452262706028,0.3776354479066195
10,0.6659744237366263,0.6274879317999696,0.5880884781906306,0.6679994625638086,0.6217057881563619,0.5892477837725154,-0.9681498323955892,-0.945865783506629,0.39573083146574684,0.390855117133449
11,0.6733136156963084,0.636677046231249,0.599153882944401,0.6762215513280422,0.6318440762600152,0.601009847957919,-0.8178975435957577,-0.8025883657807019,0.4093448504981253,0.4048932303906122
